month,budget_revenue_thb,budget_gross_profit_thb,note
2025-09-01,2700000,700000,Flat monthly run-rate target set by management at the start of the fiscal year; does not adjust for seasonality or input-cost volatility.
2025-10-01,2700000,700000,Flat monthly run-rate target set by management at the start of the fiscal year; does not adjust for seasonality or input-cost volatility.
2025-11-01,2700000,700000,Flat monthly run-rate target set by management at the start of the fiscal year; does not adjust for seasonality or input-cost volatility.
2025-12-01,2700000,700000,Flat monthly run-rate target set by management at the start of the fiscal year; does not adjust for seasonality or input-cost volatility.
2026-01-01,2700000,700000,Flat monthly run-rate target set by management at the start of the fiscal year; does not adjust for seasonality or input-cost volatility.
2026-02-01,2700000,700000,Flat monthly run-rate target set by management at the start of the fiscal year; does not adjust for seasonality or input-cost volatility.
2026-03-01,2700000,700000,Flat monthly run-rate target set by management at the start of the fiscal year; does not adjust for seasonality or input-cost volatility.
2026-04-01,2700000,700000,Flat monthly run-rate target set by management at the start of the fiscal year; does not adjust for seasonality or input-cost volatility.
2026-05-01,2700000,700000,Flat monthly run-rate target set by management at the start of the fiscal year; does not adjust for seasonality or input-cost volatility.
2026-06-01,2700000,700000,Flat monthly run-rate target set by management at the start of the fiscal year; does not adjust for seasonality or input-cost volatility.
2026-07-01,2700000,700000,Flat monthly run-rate target set by management at the start of the fiscal year; does not adjust for seasonality or input-cost volatility.
2026-08-01,2700000,700000,Flat monthly run-rate target set by management at the start of the fiscal year; does not adjust for seasonality or input-cost volatility.
