date,kitchen,sku,units_sold,gross_revenue_thb,commission_thb,sold_fruit_cost_thb,sold_packaging_cost_thb,sold_labor_cost_thb,product_margin_thb,contribution_before_waste_thb,realized_price_thb,week_start,month,units_wasted,est_waste_cost_thb,waste_cost_status,waste_cost_thb,contribution_after_waste_thb
2025-09-01,BKK_Ladprao,Guava,44,2156.0,646.8,424.6,264,242.0,1225.3999999999999,578.6,49.0,2025-09-01,2025-09-01,3.0,46.95,observed_estimated_cost,46.95,531.65
2025-09-01,BKK_Ladprao,PassionFruit,26,1690.0,405.6,493.48,156,156,884.5199999999998,478.91999999999996,65.0,2025-09-01,2025-09-01,4.0,99.92,observed_estimated_cost,99.92,378.99999999999994
2025-09-01,BKK_Ladprao,Pineapple,50,2450.0,735.0,494.00000000000006,300,250,1405.9999999999995,670.9999999999998,49.0,2025-09-01,2025-09-01,2.0,31.76,observed_estimated_cost,31.76,639.2399999999998
2025-09-01,BKK_Ladprao,Watermelon,86,3870.0,1161.0,706.9200000000001,516,430,2217.08,1056.0800000000002,45.0,2025-09-01,2025-09-01,7.0,99.54,observed_estimated_cost,99.54,956.5400000000002
2025-09-01,BKK_Sukhumvit,Guava,55,2695.0,646.8,530.75,330,302.5,1531.7499999999998,884.95,49.0,2025-09-01,2025-09-01,2.0,31.3,observed_estimated_cost,31.3,853.6500000000001
2025-09-01,BKK_Sukhumvit,PassionFruit,50,3250.0,975.0,949.0,300,300,1700.9999999999995,725.9999999999997,65.0,2025-09-01,2025-09-01,3.0,74.94,observed_estimated_cost,74.94,651.0599999999997
2025-09-01,BKK_Sukhumvit,Pineapple,81,3969.0,1190.7,800.2800000000001,486,405,2277.7199999999993,1087.0199999999998,49.0,2025-09-01,2025-09-01,3.0,47.64,observed_estimated_cost,47.64,1039.3799999999997
2025-09-01,BKK_Sukhumvit,Watermelon,138,6210.0,1490.3999999999999,1134.3600000000001,828,690,3557.6400000000003,2067.2400000000002,45.0,2025-09-01,2025-09-01,5.0,71.1,observed_estimated_cost,71.1,1996.1400000000003
2025-09-01,Pattaya_Beach,Guava,62,3038.0,911.4,598.3000000000001,372,341.0,1726.6999999999998,815.3000000000001,49.0,2025-09-01,2025-09-01,4.0,62.6,observed_estimated_cost,62.6,752.7
2025-09-01,Pattaya_Beach,PassionFruit,51,3315.0,994.5,967.98,306,306,1735.0199999999995,740.5199999999998,65.0,2025-09-01,2025-09-01,4.0,99.92,observed_estimated_cost,99.92,640.5999999999998
2025-09-01,Pattaya_Beach,Pineapple,95,4655.0,1396.5,938.6,570,475,2671.3999999999996,1274.8999999999996,49.0,2025-09-01,2025-09-01,8.0,127.04,observed_estimated_cost,127.04,1147.8599999999997
2025-09-01,Pattaya_Beach,Watermelon,110,4950.0,1188.0,904.2,660,550,2835.7999999999997,1647.8000000000004,45.0,2025-09-01,2025-09-01,5.0,71.1,observed_estimated_cost,71.1,1576.7000000000005
2025-09-01,Pattaya_Central,Guava,70,3430.0,823.1999999999999,675.5,420,385.0,1949.5,1126.3,49.0,2025-09-01,2025-09-01,2.0,31.3,observed_estimated_cost,31.3,1095.0
2025-09-01,Pattaya_Central,PassionFruit,62,4030.0,967.1999999999999,1176.76,372,372,2109.2399999999993,1142.04,65.0,2025-09-01,2025-09-01,5.0,124.9,observed_estimated_cost,124.9,1017.14
2025-09-01,Pattaya_Central,Pineapple,100,4900.0,1176.0,988.0000000000001,600,500,2811.9999999999995,1636.0,49.0,2025-09-01,2025-09-01,4.0,63.52,observed_estimated_cost,63.52,1572.48
2025-09-01,Pattaya_Central,Watermelon,149,6705.0,1609.2,1224.7800000000002,894,745,3841.22,2232.02,45.0,2025-09-01,2025-09-01,3.0,42.66,observed_estimated_cost,42.66,2189.36
2025-09-02,BKK_Ladprao,Guava,25,1225.0,367.5,241.25,150,137.5,696.2500000000002,328.75,49.0,2025-09-01,2025-09-01,3.0,46.95,observed_estimated_cost,46.95,281.8
2025-09-02,BKK_Ladprao,PassionFruit,22,1430.0,343.2,417.56,132,132,748.4399999999998,405.2399999999999,65.0,2025-09-01,2025-09-01,2.0,49.96,observed_estimated_cost,49.96,355.2799999999999
2025-09-02,BKK_Ladprao,Pineapple,54,2646.0,635.04,533.5200000000001,324,270,1518.48,883.44,49.0,2025-09-01,2025-09-01,4.0,63.52,observed_estimated_cost,63.52,819.9200000000001
2025-09-02,BKK_Ladprao,Watermelon,83,3735.0,896.4,682.2600000000001,498,415,2139.7400000000002,1243.3400000000001,45.0,2025-09-01,2025-09-01,5.0,71.1,observed_estimated_cost,71.1,1172.2400000000002
2025-09-02,BKK_Sukhumvit,Guava,41,2009.0,602.7,395.65000000000003,246,225.5,1141.85,539.15,49.0,2025-09-01,2025-09-01,2.0,31.3,observed_estimated_cost,31.3,507.84999999999997
2025-09-02,BKK_Sukhumvit,PassionFruit,40,2600.0,624.0,759.2,240,240,1360.7999999999997,736.8,65.0,2025-09-01,2025-09-01,5.0,124.9,observed_estimated_cost,124.9,611.9
2025-09-02,BKK_Sukhumvit,Pineapple,86,4214.0,1011.36,849.6800000000001,516,430,2418.3199999999993,1406.9599999999998,49.0,2025-09-01,2025-09-01,1.0,15.88,observed_estimated_cost,15.88,1391.0799999999997
2025-09-02,BKK_Sukhumvit,Watermelon,148,6660.0,1598.4,1216.5600000000002,888,740,3815.44,2217.04,45.0,2025-09-01,2025-09-01,4.0,56.88,observed_estimated_cost,56.88,2160.16
2025-09-02,Pattaya_Beach,Guava,63,3087.0,926.0999999999999,607.95,378,346.5,1754.5500000000002,828.4499999999998,49.0,2025-09-01,2025-09-01,3.0,46.95,observed_estimated_cost,46.95,781.4999999999998
2025-09-02,Pattaya_Beach,PassionFruit,53,3445.0,826.8,1005.94,318,318,1803.0599999999995,976.2599999999999,65.0,2025-09-01,2025-09-01,1.0,24.98,observed_estimated_cost,24.98,951.2799999999999
2025-09-02,Pattaya_Beach,Pineapple,82,4018.0,1205.4,810.1600000000001,492,410,2305.8399999999997,1100.4399999999996,49.0,2025-09-01,2025-09-01,2.0,31.76,observed_estimated_cost,31.76,1068.6799999999996
2025-09-02,Pattaya_Beach,Watermelon,145,6525.0,1566.0,1191.9,870,725,3738.1,2172.1000000000004,45.0,2025-09-01,2025-09-01,2.0,28.44,observed_estimated_cost,28.44,2143.6600000000003
2025-09-02,Pattaya_Central,Guava,61,2989.0,896.6999999999999,588.65,366,335.5,1698.85,802.1499999999999,49.0,2025-09-01,2025-09-01,2.0,31.3,observed_estimated_cost,31.3,770.8499999999999
2025-09-02,Pattaya_Central,PassionFruit,49,3185.0,764.4,930.02,294,294,1666.9799999999993,902.5799999999996,65.0,2025-09-01,2025-09-01,3.0,74.94,observed_estimated_cost,74.94,827.6399999999996
2025-09-02,Pattaya_Central,Pineapple,103,5047.0,1211.28,1017.6400000000001,618,515,2896.359999999999,1685.0799999999997,49.0,2025-09-01,2025-09-01,2.0,31.76,observed_estimated_cost,31.76,1653.3199999999997
2025-09-02,Pattaya_Central,Watermelon,161,7245.0,2173.5,1323.42,966,805,4150.58,1977.0799999999995,45.0,2025-09-01,2025-09-01,5.0,71.1,observed_estimated_cost,71.1,1905.9799999999996
2025-09-03,BKK_Ladprao,Guava,32,1568.0,470.4,308.8,192,176.0,891.2000000000003,420.79999999999995,49.0,2025-09-01,2025-09-01,1.0,15.65,observed_estimated_cost,15.65,405.15
2025-09-03,BKK_Ladprao,PassionFruit,23,1495.0,448.5,436.53999999999996,138,138,782.4599999999998,333.9599999999999,65.0,2025-09-01,2025-09-01,4.0,99.92,observed_estimated_cost,99.92,234.0399999999999
2025-09-03,BKK_Ladprao,Pineapple,48,2352.0,564.48,474.24,288,240,1349.7599999999998,785.2799999999999,49.0,2025-09-01,2025-09-01,3.0,47.64,observed_estimated_cost,47.64,737.6399999999999
2025-09-03,BKK_Ladprao,Watermelon,71,3195.0,766.8,583.6200000000001,426,355,1830.3799999999997,1063.5800000000002,45.0,2025-09-01,2025-09-01,4.0,56.88,observed_estimated_cost,56.88,1006.7000000000002
2025-09-03,BKK_Sukhumvit,Guava,56,2744.0,658.56,540.4,336,308.0,1559.6000000000001,901.0400000000002,49.0,2025-09-01,2025-09-01,2.0,31.3,observed_estimated_cost,31.3,869.7400000000002
2025-09-03,BKK_Sukhumvit,PassionFruit,30,1950.0,468.0,569.4,180,180,1020.5999999999997,552.5999999999999,65.0,2025-09-01,2025-09-01,3.0,74.94,observed_estimated_cost,74.94,477.6599999999999
2025-09-03,BKK_Sukhumvit,Pineapple,73,3577.0,1073.1,721.24,438,365,2052.7599999999993,979.66,49.0,2025-09-01,2025-09-01,3.0,47.64,observed_estimated_cost,47.64,932.02
2025-09-03,BKK_Sukhumvit,Watermelon,134,6030.0,1447.1999999999998,1101.48,804,670,3454.5199999999995,2007.3200000000002,45.0,2025-09-01,2025-09-01,6.0,85.32,observed_estimated_cost,85.32,1922.0000000000002
2025-09-03,Pattaya_Beach,Guava,45,2205.0,661.5,434.25,270,247.5,1253.2500000000002,591.7500000000001,49.0,2025-09-01,2025-09-01,3.0,46.95,observed_estimated_cost,46.95,544.8000000000001
2025-09-03,Pattaya_Beach,PassionFruit,44,2860.0,858.0,835.12,264,264,1496.8799999999997,638.8799999999999,65.0,2025-09-01,2025-09-01,3.0,74.94,observed_estimated_cost,74.94,563.9399999999998
2025-09-03,Pattaya_Beach,Pineapple,90,4410.0,1323.0,889.2,540,450,2530.7999999999997,1207.8,49.0,2025-09-01,2025-09-01,6.0,95.28,observed_estimated_cost,95.28,1112.52
2025-09-03,Pattaya_Beach,Watermelon,138,6210.0,1863.0,1134.3600000000001,828,690,3557.6400000000003,1694.6399999999996,45.0,2025-09-01,2025-09-01,5.0,71.1,observed_estimated_cost,71.1,1623.5399999999997
2025-09-03,Pattaya_Central,Guava,87,4263.0,1023.12,839.5500000000001,522,478.5,2422.95,1399.83,49.0,2025-09-01,2025-09-01,3.0,46.95,observed_estimated_cost,46.95,1352.8799999999999
2025-09-03,Pattaya_Central,PassionFruit,48,3120.0,936.0,911.04,288,288,1632.9599999999996,696.9599999999998,65.0,2025-09-01,2025-09-01,3.0,74.94,observed_estimated_cost,74.94,622.0199999999998
2025-09-03,Pattaya_Central,Pineapple,104,5096.0,1528.8,1027.52,624,520,2924.4799999999996,1395.6799999999998,49.0,2025-09-01,2025-09-01,5.0,79.4,observed_estimated_cost,79.4,1316.2799999999997
2025-09-03,Pattaya_Central,Watermelon,137,6165.0,1849.5,1126.14,822,685,3531.8600000000006,1682.36,45.0,2025-09-01,2025-09-01,2.0,28.44,observed_estimated_cost,28.44,1653.9199999999998
2025-09-04,BKK_Ladprao,Guava,27,1323.0,396.9,260.55,162,148.5,751.9500000000002,355.05,49.0,2025-09-01,2025-09-01,1.0,15.65,observed_estimated_cost,15.65,339.40000000000003
2025-09-04,BKK_Ladprao,PassionFruit,18,1170.0,280.8,341.64,108,108,612.3599999999998,331.55999999999995,65.0,2025-09-01,2025-09-01,1.0,24.98,observed_estimated_cost,24.98,306.5799999999999
2025-09-04,BKK_Ladprao,Pineapple,49,2401.0,720.3,484.12,294,245,1377.8799999999997,657.5799999999997,49.0,2025-09-01,2025-09-01,3.0,47.64,observed_estimated_cost,47.64,609.9399999999997
2025-09-04,BKK_Ladprao,Watermelon,76,3420.0,1026.0,624.72,456,380,1959.2799999999997,933.2799999999999,45.0,2025-09-01,2025-09-01,3.0,42.66,observed_estimated_cost,42.66,890.6199999999999
2025-09-04,BKK_Sukhumvit,Guava,74,3626.0,870.24,714.1,444,407.0,2060.9,1190.66,49.0,2025-09-01,2025-09-01,3.0,46.95,observed_estimated_cost,46.95,1143.71
2025-09-04,BKK_Sukhumvit,PassionFruit,42,2730.0,819.0,797.16,252,252,1428.8399999999997,609.8399999999999,65.0,2025-09-01,2025-09-01,3.0,74.94,observed_estimated_cost,74.94,534.8999999999999
2025-09-04,BKK_Sukhumvit,Pineapple,78,3822.0,917.28,770.6400000000001,468,390,2193.359999999999,1276.08,49.0,2025-09-01,2025-09-01,4.0,63.52,observed_estimated_cost,63.52,1212.56
2025-09-04,BKK_Sukhumvit,Watermelon,132,5940.0,1782.0,1085.0400000000002,792,660,3402.96,1620.9599999999998,45.0,2025-09-01,2025-09-01,4.0,56.88,observed_estimated_cost,56.88,1564.0799999999997
2025-09-04,Pattaya_Beach,Guava,59,2891.0,693.8399999999999,569.35,354,324.5,1643.1500000000003,949.3100000000001,49.0,2025-09-01,2025-09-01,2.0,31.3,observed_estimated_cost,31.3,918.0100000000001
2025-09-04,Pattaya_Beach,PassionFruit,42,2730.0,655.1999999999999,797.16,252,252,1428.8399999999995,773.64,65.0,2025-09-01,2025-09-01,1.0,24.98,observed_estimated_cost,24.98,748.66
