source_row_id,date,kitchen,sku,units_wasted,est_waste_cost_thb,week_start,packaging_cost_per_cup_thb,labor_cost_per_cup_thb,base_price_thb,fruit_cost_raw_thb,fruit_cost_used_thb,waste_cost_raw_thb,waste_cost_status
2,2025-09-01,BKK_Ladprao,Guava,3,46.95,2025-09-01,6,5.5,49.0,9.65,9.65,46.95,observed_estimated_cost
3,2025-09-01,BKK_Ladprao,PassionFruit,4,99.92,2025-09-01,6,6,65.0,18.98,18.98,99.92,observed_estimated_cost
4,2025-09-01,BKK_Ladprao,Pineapple,2,31.76,2025-09-01,6,5,49.0,9.88,9.88,31.76,observed_estimated_cost
5,2025-09-01,BKK_Ladprao,Watermelon,7,99.54,2025-09-01,6,5,45.0,8.22,8.22,99.54,observed_estimated_cost
6,2025-09-01,BKK_Sukhumvit,Guava,2,31.3,2025-09-01,6,5.5,49.0,9.65,9.65,31.3,observed_estimated_cost
7,2025-09-01,BKK_Sukhumvit,PassionFruit,3,74.94,2025-09-01,6,6,65.0,18.98,18.98,74.94,observed_estimated_cost
8,2025-09-01,BKK_Sukhumvit,Pineapple,3,47.64,2025-09-01,6,5,49.0,9.88,9.88,47.64,observed_estimated_cost
9,2025-09-01,BKK_Sukhumvit,Watermelon,5,71.1,2025-09-01,6,5,45.0,8.22,8.22,71.1,observed_estimated_cost
10,2025-09-01,Pattaya_Beach,Guava,4,62.6,2025-09-01,6,5.5,49.0,9.65,9.65,62.6,observed_estimated_cost
11,2025-09-01,Pattaya_Beach,PassionFruit,4,99.92,2025-09-01,6,6,65.0,18.98,18.98,99.92,observed_estimated_cost
12,2025-09-01,Pattaya_Beach,Pineapple,8,127.04,2025-09-01,6,5,49.0,9.88,9.88,127.04,observed_estimated_cost
13,2025-09-01,Pattaya_Beach,Watermelon,5,71.1,2025-09-01,6,5,45.0,8.22,8.22,71.1,observed_estimated_cost
14,2025-09-01,Pattaya_Central,Guava,2,31.3,2025-09-01,6,5.5,49.0,9.65,9.65,31.3,observed_estimated_cost
15,2025-09-01,Pattaya_Central,PassionFruit,5,124.9,2025-09-01,6,6,65.0,18.98,18.98,124.9,observed_estimated_cost
16,2025-09-01,Pattaya_Central,Pineapple,4,63.52,2025-09-01,6,5,49.0,9.88,9.88,63.52,observed_estimated_cost
17,2025-09-01,Pattaya_Central,Watermelon,3,42.66,2025-09-01,6,5,45.0,8.22,8.22,42.66,observed_estimated_cost
18,2025-09-02,BKK_Ladprao,Guava,3,46.95,2025-09-01,6,5.5,49.0,9.65,9.65,46.95,observed_estimated_cost
19,2025-09-02,BKK_Ladprao,PassionFruit,2,49.96,2025-09-01,6,6,65.0,18.98,18.98,49.96,observed_estimated_cost
20,2025-09-02,BKK_Ladprao,Pineapple,4,63.52,2025-09-01,6,5,49.0,9.88,9.88,63.52,observed_estimated_cost
21,2025-09-02,BKK_Ladprao,Watermelon,5,71.1,2025-09-01,6,5,45.0,8.22,8.22,71.1,observed_estimated_cost
22,2025-09-02,BKK_Sukhumvit,Guava,2,31.3,2025-09-01,6,5.5,49.0,9.65,9.65,31.3,observed_estimated_cost
23,2025-09-02,BKK_Sukhumvit,PassionFruit,5,124.9,2025-09-01,6,6,65.0,18.98,18.98,124.9,observed_estimated_cost
24,2025-09-02,BKK_Sukhumvit,Pineapple,1,15.88,2025-09-01,6,5,49.0,9.88,9.88,15.88,observed_estimated_cost
25,2025-09-02,BKK_Sukhumvit,Watermelon,4,56.88,2025-09-01,6,5,45.0,8.22,8.22,56.88,observed_estimated_cost
26,2025-09-02,Pattaya_Beach,Guava,3,46.95,2025-09-01,6,5.5,49.0,9.65,9.65,46.95,observed_estimated_cost
27,2025-09-02,Pattaya_Beach,PassionFruit,1,24.98,2025-09-01,6,6,65.0,18.98,18.98,24.98,observed_estimated_cost
28,2025-09-02,Pattaya_Beach,Pineapple,2,31.76,2025-09-01,6,5,49.0,9.88,9.88,31.76,observed_estimated_cost
29,2025-09-02,Pattaya_Beach,Watermelon,2,28.44,2025-09-01,6,5,45.0,8.22,8.22,28.44,observed_estimated_cost
30,2025-09-02,Pattaya_Central,Guava,2,31.3,2025-09-01,6,5.5,49.0,9.65,9.65,31.3,observed_estimated_cost
31,2025-09-02,Pattaya_Central,PassionFruit,3,74.94,2025-09-01,6,6,65.0,18.98,18.98,74.94,observed_estimated_cost
32,2025-09-02,Pattaya_Central,Pineapple,2,31.76,2025-09-01,6,5,49.0,9.88,9.88,31.76,observed_estimated_cost
33,2025-09-02,Pattaya_Central,Watermelon,5,71.1,2025-09-01,6,5,45.0,8.22,8.22,71.1,observed_estimated_cost
34,2025-09-03,BKK_Ladprao,Guava,1,15.65,2025-09-01,6,5.5,49.0,9.65,9.65,15.65,observed_estimated_cost
35,2025-09-03,BKK_Ladprao,PassionFruit,4,99.92,2025-09-01,6,6,65.0,18.98,18.98,99.92,observed_estimated_cost
36,2025-09-03,BKK_Ladprao,Pineapple,3,47.64,2025-09-01,6,5,49.0,9.88,9.88,47.64,observed_estimated_cost
37,2025-09-03,BKK_Ladprao,Watermelon,4,56.88,2025-09-01,6,5,45.0,8.22,8.22,56.88,observed_estimated_cost
38,2025-09-03,BKK_Sukhumvit,Guava,2,31.3,2025-09-01,6,5.5,49.0,9.65,9.65,31.3,observed_estimated_cost
39,2025-09-03,BKK_Sukhumvit,PassionFruit,3,74.94,2025-09-01,6,6,65.0,18.98,18.98,74.94,observed_estimated_cost
40,2025-09-03,BKK_Sukhumvit,Pineapple,3,47.64,2025-09-01,6,5,49.0,9.88,9.88,47.64,observed_estimated_cost
