week_start,sku,fruit_cost_per_cup_thb
2025-09-01,Watermelon,8.22
2025-09-01,Pineapple,9.88
2025-09-01,Guava,9.65
2025-09-01,PassionFruit,18.98
2025-09-08,Watermelon,7.68
2025-09-08,Pineapple,10.95
2025-09-08,Guava,9.47
2025-09-08,PassionFruit,19.22
2025-09-15,Watermelon,7.7
2025-09-15,Pineapple,9.9
2025-09-15,Guava,8.77
2025-09-15,PassionFruit,19.6
2025-09-22,Watermelon,8.12
2025-09-22,Pineapple,10.65
2025-09-22,Guava,8.9
2025-09-22,PassionFruit,17.71
2025-09-29,Watermelon,8.04
2025-09-29,Pineapple,9.13
2025-09-29,Guava,9.59
2025-09-29,PassionFruit,18.81
2025-10-06,Watermelon,8.21
2025-10-06,Pineapple,9.71
2025-10-06,Guava,9.85
2025-10-06,PassionFruit,19.51
2025-10-13,Watermelon,8.22
2025-10-13,Pineapple,9.39
2025-10-13,Guava,8.94
2025-10-13,PassionFruit,17.22
2025-10-20,Watermelon,7.72
2025-10-20,Pineapple,10.37
2025-10-20,Guava,9.44
2025-10-20,PassionFruit,19.71
2025-10-27,Watermelon,7.86
2025-10-27,Pineapple,9.74
2025-10-27,Guava,8.95
2025-10-27,PassionFruit,17.61
2025-11-03,Watermelon,7.7
2025-11-03,Pineapple,9.95
2025-11-03,Guava,8.51
2025-11-03,PassionFruit,18.91
2025-11-10,Watermelon,7.95
2025-11-10,Pineapple,10.67
2025-11-10,Guava,9.36
2025-11-10,PassionFruit,17.94
2025-11-17,Watermelon,8.27
2025-11-17,Pineapple,10.61
2025-11-17,Guava,8.8
2025-11-17,PassionFruit,17.88
2025-11-24,Watermelon,8.15
2025-11-24,Pineapple,9.28
2025-11-24,Guava,8.46
2025-11-24,PassionFruit,17.12
2025-12-01,Watermelon,8.23
2025-12-01,Pineapple,10.33
2025-12-01,Guava,9.37
2025-12-01,PassionFruit,19.21
2025-12-08,Watermelon,7.97
2025-12-08,Pineapple,10.14
2025-12-08,Guava,8.35
2025-12-08,PassionFruit,17.41
2025-12-15,Watermelon,8.13
2025-12-15,Pineapple,9.94
2025-12-15,Guava,9.12
2025-12-15,PassionFruit,19.17
2025-12-22,Watermelon,8.11
2025-12-22,Pineapple,10.11
2025-12-22,Guava,9.11
2025-12-22,PassionFruit,17.92
2025-12-29,Watermelon,7.62
2025-12-29,Pineapple,9.87
2025-12-29,Guava,8.49
2025-12-29,PassionFruit,18.2
2026-01-05,Watermelon,8.28
2026-01-05,Pineapple,9.47
2026-01-05,Guava,8.2
2026-01-05,PassionFruit,17.86
2026-01-12,Watermelon,7.83
2026-01-12,Pineapple,10.32
2026-01-12,Guava,9.1
2026-01-12,PassionFruit,19.22
2026-01-19,Watermelon,8.13
2026-01-19,Pineapple,9.81
2026-01-19,Guava,9.57
2026-01-19,PassionFruit,17.55
2026-01-26,Watermelon,7.62
2026-01-26,Pineapple,9.18
2026-01-26,Guava,9.4
2026-01-26,PassionFruit,18.35
2026-02-02,Watermelon,7.73
2026-02-02,Pineapple,10.0
2026-02-02,Guava,8.37
2026-02-02,PassionFruit,18.98
2026-02-09,Watermelon,7.96
2026-02-09,Pineapple,9.76
2026-02-09,Guava,8.64
2026-02-09,PassionFruit,18.8
2026-02-16,Watermelon,7.89
2026-02-16,Pineapple,9.18
2026-02-16,Guava,8.31
2026-02-16,PassionFruit,19.7
2026-02-23,Watermelon,8.33
2026-02-23,Pineapple,10.4
2026-02-23,Guava,8.58
2026-02-23,PassionFruit,19.72
2026-03-02,Watermelon,7.4
2026-03-02,Pineapple,10.43
2026-03-02,Guava,8.91
2026-03-02,PassionFruit,17.84
2026-03-02,MixedBerryPremium,33.69
2026-03-09,Watermelon,7.49
2026-03-09,Pineapple,9.91
2026-03-09,Guava,8.46
2026-03-09,PassionFruit,17.93
2026-03-09,MixedBerryPremium,34.54
2026-03-16,Watermelon,6.97
2026-03-16,Pineapple,10.71
2026-03-16,Guava,9.47
2026-03-16,PassionFruit,19.04
2026-03-16,MixedBerryPremium,34.75
2026-03-23,Watermelon,7.29
2026-03-23,Pineapple,10.17
2026-03-23,Guava,9.27
2026-03-23,PassionFruit,17.33
2026-03-23,MixedBerryPremium,34.89
2026-03-30,Watermelon,6.87
2026-03-30,Pineapple,9.99
2026-03-30,Guava,8.69
2026-03-30,PassionFruit,17.49
2026-03-30,MixedBerryPremium,33.62
2026-04-06,Watermelon,7.26
2026-04-06,Pineapple,7.47
2026-04-06,Guava,9.77
2026-04-06,PassionFruit,18.67
2026-04-06,MixedBerryPremium,33.45
2026-04-13,Watermelon,7.27
2026-04-13,Pineapple,7.24
2026-04-13,Guava,9.83
2026-04-13,PassionFruit,18.4
2026-04-13,MixedBerryPremium,35.19
2026-04-20,Watermelon,6.9
2026-04-20,Pineapple,7.98
2026-04-20,Guava,8.98
2026-04-20,PassionFruit,19.63
2026-04-20,MixedBerryPremium,36.04
2026-04-27,Watermelon,7.18
2026-04-27,Pineapple,7.63
2026-04-27,Guava,8.7
2026-04-27,PassionFruit,18.51
2026-04-27,MixedBerryPremium,36.3
2026-05-04,Watermelon,6.86
2026-05-04,Pineapple,8.52
2026-05-04,Guava,9.71
2026-05-04,PassionFruit,17.48
2026-05-04,MixedBerryPremium,37.1
2026-05-11,Watermelon,6.92
2026-05-11,Pineapple,8.28
2026-05-11,Guava,8.61
2026-05-11,PassionFruit,18.88
2026-05-11,MixedBerryPremium,38.75
2026-05-18,Watermelon,7.39
2026-05-18,Pineapple,7.37
2026-05-18,Guava,9.75
