month,kitchen,target_sales,target_prep,contribution_thb,overhead_reduction,fixed_overhead_thb,operating_before_central_implementation_thb,basis
2026-09-01,BKK_Ladprao,5994.177417599881,6285.968958998216,69312.76844934643,0.05,133000.0,-63687.23155065357,same percent overhead-cut target by kitchen; implementation budget held centrally
2026-09-01,BKK_Sukhumvit,9941.577365801719,10427.021262622886,114520.83992029743,0.05,190000.0,-75479.16007970257,same percent overhead-cut target by kitchen; implementation budget held centrally
2026-09-01,Pattaya_Beach,11334.706903787464,11896.030532536177,128796.39627093433,0.05,142500.0,-13703.603729065668,same percent overhead-cut target by kitchen; implementation budget held centrally
2026-09-01,Pattaya_Central,13380.628280970213,14034.917386122044,153740.1308835436,0.05,171000.0,-17259.869116456393,same percent overhead-cut target by kitchen; implementation budget held centrally
2026-10-01,BKK_Ladprao,6541.585029242964,6790.665360419127,95373.1257107291,0.15,119000.0,-23626.874289270898,same percent overhead-cut target by kitchen; implementation budget held centrally
2026-10-01,BKK_Sukhumvit,10840.462102332896,11253.76515550233,157740.39716584608,0.15,170000.0,-12259.60283415392,same percent overhead-cut target by kitchen; implementation budget held centrally
2026-10-01,Pattaya_Beach,12334.525018305649,12810.604456110072,177853.36167954042,0.15,127500.0,50353.36167954042,same percent overhead-cut target by kitchen; implementation budget held centrally
2026-10-01,Pattaya_Central,14609.820741234813,15172.023496387632,211498.97321753958,0.15,153000.0,58498.97321753958,same percent overhead-cut target by kitchen; implementation budget held centrally
2026-11-01,BKK_Ladprao,7118.409420882419,7368.065726581954,105000.59256279623,0.15,119000.0,-13999.407437203772,same percent overhead-cut target by kitchen; implementation budget held centrally
2026-11-01,BKK_Sukhumvit,11790.905420794074,12204.786297724375,173633.54522476788,0.15,170000.0,3633.545224767877,same percent overhead-cut target by kitchen; implementation budget held centrally
2026-11-01,Pattaya_Beach,13393.493766089563,13868.783151064848,195650.89995502052,0.15,127500.0,68150.89995502052,same percent overhead-cut target by kitchen; implementation budget held centrally
2026-11-01,Pattaya_Central,15876.582142669165,16438.69710082724,232733.22922198192,0.15,153000.0,79733.22922198192,same percent overhead-cut target by kitchen; implementation budget held centrally
