day_of_week,hour,total_cups,active_days,avg_cups_per_active_day
0,0,1687,53,31.830188679245282
0,1,1058,53,19.962264150943398
0,2,677,53,12.773584905660377
0,3,312,53,5.886792452830188
0,4,356,53,6.716981132075472
0,5,358,53,6.754716981132075
0,6,725,53,13.679245283018869
0,7,1334,53,25.169811320754718
0,8,2083,53,39.301886792452834
0,9,2751,53,51.905660377358494
0,10,3382,53,63.81132075471698
0,11,6713,53,126.66037735849056
0,12,7463,53,140.81132075471697
0,13,5987,53,112.9622641509434
0,14,3462,53,65.32075471698113
0,15,4497,53,84.84905660377359
0,16,5058,53,95.43396226415095
0,17,5908,53,111.47169811320755
0,18,4705,53,88.77358490566037
0,19,4345,53,81.98113207547169
0,20,4399,53,83.0
0,21,6265,53,118.20754716981132
0,22,6835,53,128.96226415094338
0,23,5114,53,96.49056603773585
1,0,1807,52,34.75
1,1,1110,52,21.346153846153847
1,2,706,52,13.576923076923077
1,3,361,52,6.9423076923076925
1,4,355,52,6.826923076923077
1,5,360,52,6.923076923076923
1,6,711,52,13.673076923076923
1,7,1365,52,26.25
1,8,2196,52,42.23076923076923
1,9,2854,52,54.88461538461539
1,10,3588,52,69.0
1,11,6921,52,133.09615384615384
1,12,7662,52,147.34615384615384
1,13,6127,52,117.82692307692308
1,14,3598,52,69.1923076923077
1,15,4623,52,88.90384615384616
1,16,5380,52,103.46153846153847
1,17,6026,52,115.88461538461539
1,18,5032,52,96.76923076923077
1,19,4298,52,82.65384615384616
1,20,4625,52,88.9423076923077
1,21,6477,52,124.5576923076923
1,22,7099,52,136.51923076923077
1,23,5469,52,105.17307692307692
2,0,1710,52,32.88461538461539
2,1,1051,52,20.21153846153846
2,2,681,52,13.096153846153847
2,3,348,52,6.6923076923076925
2,4,343,52,6.596153846153846
2,5,359,52,6.903846153846154
2,6,653,52,12.557692307692308
2,7,1383,52,26.596153846153847
2,8,2048,52,39.38461538461539
2,9,2707,52,52.05769230769231
2,10,3442,52,66.1923076923077
2,11,6542,52,125.8076923076923
2,12,7267,52,139.75
2,13,5881,52,113.09615384615384
2,14,3391,52,65.21153846153847
2,15,4359,52,83.82692307692308
2,16,5084,52,97.76923076923077
2,17,5782,52,111.1923076923077
2,18,4760,52,91.53846153846153
2,19,3925,52,75.48076923076923
2,20,4394,52,84.5
2,21,6131,52,117.90384615384616
2,22,6716,52,129.15384615384616
2,23,5115,52,98.36538461538461
3,0,1697,52,32.63461538461539
3,1,992,52,19.076923076923077
3,2,729,52,14.01923076923077
3,3,337,52,6.480769230769231
3,4,315,52,6.0576923076923075
3,5,335,51,6.568627450980392
3,6,654,52,12.576923076923077
3,7,1360,52,26.153846153846153
3,8,2092,52,40.23076923076923
3,9,2745,52,52.78846153846154
3,10,3316,52,63.76923076923077
3,11,6752,52,129.84615384615384
3,12,7295,52,140.28846153846155
3,13,6010,52,115.57692307692308
3,14,3419,52,65.75
3,15,4383,52,84.28846153846153
3,16,5224,52,100.46153846153847
3,17,5796,52,111.46153846153847
3,18,4732,52,91.0
3,19,4145,52,79.71153846153847
3,20,4397,52,84.5576923076923
3,21,6216,52,119.53846153846153
3,22,6788,52,130.53846153846155
3,23,4994,52,96.03846153846153
4,0,1710,52,32.88461538461539
4,1,1015,52,19.51923076923077
4,2,702,52,13.5
4,3,318,52,6.115384615384615
4,4,326,52,6.269230769230769
4,5,328,51,6.431372549019608
4,6,657,52,12.634615384615385
4,7,1382,52,26.576923076923077
4,8,2047,52,39.36538461538461
4,9,2703,52,51.98076923076923
4,10,3467,52,66.67307692307692
4,11,6532,52,125.61538461538461
4,12,7255,52,139.51923076923077
4,13,5761,52,110.78846153846153
4,14,3387,52,65.13461538461539
4,15,4414,52,84.88461538461539
4,16,5056,52,97.23076923076923
4,17,5774,52,111.03846153846153
4,18,4819,52,92.67307692307692
4,19,4034,52,77.57692307692308
4,20,4462,52,85.8076923076923
4,21,6119,52,117.67307692307692
4,22,6765,52,130.09615384615384
4,23,5031,52,96.75
5,0,2506,52,48.19230769230769
5,1,1491,52,28.673076923076923
5,2,760,52,14.615384615384615
5,3,331,51,6.490196078431373
5,4,333,52,6.403846153846154
5,5,317,52,6.096153846153846
5,6,726,52,13.961538461538462
5,7,1449,52,27.865384615384617
5,8,2212,52,42.53846153846154
5,9,2905,52,55.86538461538461
5,10,3730,52,71.73076923076923
5,11,6677,52,128.40384615384616
5,12,7181,52,138.09615384615384
5,13,5656,52,108.76923076923077
5,14,3605,52,69.32692307692308
5,15,4759,52,91.51923076923077
5,16,5321,52,102.32692307692308
5,17,6254,52,120.26923076923077
5,18,4909,52,94.40384615384616
5,19,4361,52,83.86538461538461
5,20,4619,52,88.82692307692308
5,21,8821,52,169.6346153846154
5,22,9798,52,188.42307692307693
5,23,7385,52,142.01923076923077
6,0,2380,52,45.76923076923077
6,1,1446,52,27.807692307692307
6,2,702,52,13.5
6,3,411,52,7.903846153846154
6,4,323,52,6.211538461538462
6,5,381,52,7.326923076923077
6,6,747,52,14.365384615384615
6,7,1453,52,27.942307692307693
6,8,2178,52,41.88461538461539
6,9,2891,52,55.59615384615385
6,10,3674,52,70.65384615384616
6,11,6525,52,125.48076923076923
6,12,7061,52,135.78846153846155
6,13,5631,52,108.28846153846153
6,14,3487,52,67.0576923076923
6,15,4686,52,90.11538461538461
6,16,5399,52,103.82692307692308
6,17,6028,52,115.92307692307692
6,18,5007,52,96.28846153846153
6,19,4285,52,82.40384615384616
6,20,4639,52,89.21153846153847
6,21,8559,52,164.59615384615384
6,22,9778,52,188.03846153846155
6,23,7263,52,139.67307692307693
