hour,units_sold,gross_revenue_thb,revenue_share
0,13497,681364.69,0.021875819985441344
1,8163,408687.02,0.013121260627559769
2,4957,249114.03,0.007998027717180112
3,2418,122350.57,0.003928173977486477
4,2351,118247.25,0.003796433235736767
5,2438,122677.45,0.003938668750904866
6,4873,245151.83,0.007870817758668297
7,9726,492259.95,0.015804443949454378
8,14856,749543.73,0.024064768763841067
9,19556,986929.82,0.03168626052603934
10,24599,1240993.77,0.039843209831689694
11,46662,2352372.09,0.07552500024563413
12,51184,2580042.68,0.0828345672307082
13,41053,2068028.34,0.06639589100314414
14,24349,1228100.6,0.03942926313016384
15,31721,1597066.64,0.05127524633158442
16,36522,1839550.8,0.059060416169899585
17,41568,2095405.79,0.0672748684092971
18,33964,1712427.9,0.054979022288999674
19,29393,1477258.69,0.04742870543287017
20,31535,1588619.74,0.05100405108688364
21,48588,2448273.94,0.0786040145204578
22,53779,2709671.76,0.08699642425173812
23,40371,2032793.49,0.06526464477461705
