hour,total_cups,active_days,active_hours,avg_cups_per_active_day,avg_cups_per_observed_hour
0,13497,365,365,36.97808219178082,36.97808219178082
1,8163,365,365,22.364383561643837,22.364383561643837
2,4957,365,365,13.580821917808219,13.580821917808219
3,2418,364,364,6.642857142857143,6.642857142857143
4,2351,365,365,6.441095890410959,6.441095890410959
5,2438,363,363,6.7162534435261705,6.7162534435261705
6,4873,365,365,13.35068493150685,13.35068493150685
7,9726,365,365,26.646575342465752,26.646575342465752
8,14856,365,365,40.701369863013696,40.701369863013696
9,19556,365,365,53.57808219178082,53.57808219178082
10,24599,365,365,67.3945205479452,67.3945205479452
11,46662,365,365,127.84109589041095,127.84109589041095
12,51184,365,365,140.23013698630137,140.23013698630137
13,41053,365,365,112.47397260273972,112.47397260273972
14,24349,365,365,66.7095890410959,66.7095890410959
15,31721,365,365,86.9068493150685,86.9068493150685
16,36522,365,365,100.06027397260274,100.06027397260274
17,41568,365,365,113.88493150684931,113.88493150684931
18,33964,365,365,93.05205479452054,93.05205479452054
19,29393,365,365,80.52876712328766,80.52876712328766
20,31535,365,365,86.3972602739726,86.3972602739726
21,48588,365,365,133.11780821917807,133.11780821917807
22,53779,365,365,147.33972602739726,147.33972602739726
23,40371,365,365,110.6054794520548,110.6054794520548
