kitchen,sku,units_sold,gross_revenue_thb,contribution_before_waste_thb,active_days,avg_cups_per_active_day,contribution_per_cup_thb
BKK_Ladprao,Guava,15141,727969.48,213230.63340000002,365,41.48219178082192,14.082995403209829
BKK_Ladprao,MixedBerryPremium,4163,361628.36,41484.93520000001,184,22.625,9.965153783329331
BKK_Ladprao,PassionFruit,11883,758621.5,167192.24,365,32.556164383561644,14.069867878481864
BKK_Ladprao,Pineapple,23933,1153733.91,351608.13180000003,365,65.56986301369864,14.69135218317804
BKK_Ladprao,Watermelon,36306,1601789.85,482043.065,365,99.46849315068494,13.277228694981545
BKK_Sukhumvit,Guava,25045,1204850.22,354142.505,365,68.61643835616438,14.140247754042724
BKK_Sukhumvit,MixedBerryPremium,6903,600264.06,69307.0552,184,37.516304347826086,10.040135477328699
BKK_Sukhumvit,PassionFruit,20057,1280316.7,280611.737,365,54.95068493150685,13.990713317046419
BKK_Sukhumvit,Pineapple,40239,1939119.14,591906.219,365,110.24383561643836,14.709764631327817
BKK_Sukhumvit,Watermelon,60657,2678107.05,810867.498,365,166.18356164383562,13.368077847569118
Pattaya_Beach,Guava,28132,1353277.59,395299.43840000004,365,77.07397260273973,14.051593857528795
Pattaya_Beach,MixedBerryPremium,7784,677538.31,77332.767,184,42.30434782608695,9.934836459403906
Pattaya_Beach,PassionFruit,22655,1446184.35,315178.86100000003,365,62.06849315068493,13.912110395056281
Pattaya_Beach,Pineapple,44942,2165443.28,653079.6988,365,123.12876712328767,14.531611828579058
Pattaya_Beach,Watermelon,67926,2997063.9,907958.275,365,186.0986301369863,13.366873877454879
Pattaya_Central,Guava,33186,1596940.87,470057.0086,365,90.92054794520548,14.164316537093955
Pattaya_Central,MixedBerryPremium,9194,799696.15,92952.03540000001,184,49.96739130434783,10.110075636284535
Pattaya_Central,PassionFruit,26821,1711054.15,372141.332,365,73.48219178082192,13.874998396778643
Pattaya_Central,Pineapple,53054,2557599.1,776820.6304,365,145.35342465753425,14.64207468616881
Pattaya_Central,Watermelon,80102,3535734.6,1073405.581,365,219.45753424657534,13.40048414521485
