month,units_sold,gross_revenue_thb,commission_thb,sold_fruit_cost_thb,sold_packaging_cost_thb,sold_labor_cost_thb,product_margin_thb,contribution_before_waste_thb,units_wasted,waste_cost_thb,contribution_after_waste_thb,realized_price_thb,waste_rate
2025-09-01,39740,1913361.14,519138.95279999997,408951.22000000003,238440,207546.5,1058423.42,539284.4672000001,1947.0,34655.66,504628.80720000004,48.14698389531957,0.04670520785856502
2025-10-01,40606,1967214.49,537780.6258,413224.19,243636,212161.5,1098192.8,560412.1742,2036.0,35609.55,524802.6242,48.44639930059597,0.04774635336053656
2025-11-01,46072,2254716.05,614801.301,466108.19,276432,240719.0,1271456.86,656655.559,2332.0,40451.47,616204.089,48.93896618336516,0.04817783654243451
2025-12-01,49627,2425157.05,665046.039,506152.57,297762,259325.0,1361917.48,696871.441,2481.0,43143.43,653728.0109999999,48.86769399721925,0.0476126506486528
2026-01-01,50150,2458094.35,673649.349,503952.44,300900,262180.0,1391061.91,717412.561,2557.0,44497.08,672915.481,49.01484247258225,0.04851348018289791
2026-02-01,47786,2325427.4,636946.272,483200.95,286716,249646.0,1305864.45,668918.178,2439.0,42605.57,626312.608,48.66336165404093,0.04856147336983574
2026-03-01,67061,3583286.85,978569.7779999999,854779.0,417910,364147.0,1946450.85,967881.072,4991.0,136665.78,831215.292,53.43324510520273,0.0692694165325043
2026-04-01,77416,4029174.75,1109731.905,885610.93,477484,415886.0,2250193.82,1140461.915,5165.0,132582.13999999998,1007879.775,52.04576250387517,0.0625446531284436
2026-05-01,67385,3479104.1,950221.74,768563.42,414720,361072.0,1934748.68,984526.9400000001,4375.0,111059.39,873467.55,51.630245603620985,0.060967112597547383
2026-06-01,45183,2302538.53,630960.9234,602694.6,277668,241775.5,1180400.43,549439.5066,2977.0,83793.15,465646.35659999994,50.96028439899962,0.061814784053156144
2026-07-01,43292,2196943.06,599854.4364,588059.28,265252,231023.5,1112608.28,512753.8436,2668.0,76295.51,436458.3336,50.74709091749053,0.05805047867711053
2026-08-01,43805,2211914.8,600690.2304,607927.58,267906,233389.0,1102692.22,502001.98960000003,2685.0,78491.94,423510.0496,50.49457367880378,0.05775435577543558
