sku,observed_price_thb,rows,units_sold,gross_revenue_thb,contribution_before_waste_thb,active_days,active_hours,promo_families,avg_cups_per_active_hour,realized_price_thb,contribution_per_cup_thb
Guava,39.2,877,5433,212973.6,41171.3,12,272,1,19.97426470588235,39.2,7.578004785569667
Guava,41.65,456,2488,103625.2,22573.299000000003,6,139,1,17.899280575539567,41.65,9.072869372990354
Guava,43.12,933,3253,140269.36,33342.5564,13,292,1,11.14041095890411,43.12,10.249786781432524
Guava,49.0,24707,90330,4426170.0,1335642.4300000002,334,7546,1,11.970580439968195,49.0,14.786255175467732
MixedBerryPremium,71.2,364,1643,116981.6,-1945.3859999999956,6,125,1,13.144,71.2,-1.1840450395617745
MixedBerryPremium,75.65,476,1464,110751.6,3922.208000000001,8,168,1,8.714285714285714,75.65,2.679103825136613
MixedBerryPremium,78.32,388,749,58661.68,-3077.1792000000014,8,159,1,4.710691823899371,78.32000000000001,-4.108383444592793
MixedBerryPremium,89.0,9590,24188,2152732.0,282177.15,162,3400,1,7.114117647058824,89.0,11.665997602116754
PassionFruit,52.0,841,4573,237796.0,25445.91,12,264,1,17.321969696969695,52.0,5.564380056855456
PassionFruit,55.25,486,1830,101107.5,10611.150000000001,7,157,1,11.656050955414013,55.25,5.79844262295082
PassionFruit,57.2,790,2381,136193.2,12475.630000000003,12,258,1,9.228682170542635,57.2,5.239659806803865
PassionFruit,65.0,23189,72632,4721080.0,1086591.48,334,7426,1,9.780770266630757,65.0,14.960230752285494
Pineapple,39.2,958,8804,345116.8,66729.79000000001,12,283,1,31.109540636042404,39.199999999999996,7.579485461154022
Pineapple,41.65,244,1711,71263.15,16924.802,3,71,1,24.098591549295776,41.65,9.891760374050262
Pineapple,43.12,1038,5354,230864.47999999998,59874.087999999996,13,305,1,17.554098360655736,43.12,11.18305715353007
Pineapple,49.0,27201,146299,7168651.0,2229886.0,337,7862,1,18.608369371661155,49.0,15.241977047006474
Watermelon,36.0,1025,13348,480528.0,101974.3,12,283,1,47.1660777385159,36.0,7.639668864249326
Watermelon,38.25,694,7088,271116.0,62958.805,8,191,1,37.109947643979055,38.25,8.882449915349888
Watermelon,39.6,1077,8134,322106.4,79045.094,13,305,1,26.668852459016392,39.6,9.717862552249816
Watermelon,45.0,28321,216421,9738945.0,3030296.22,332,7881,1,27.461108996320263,45.0,14.00185850726131
