sku,price_change_pct,projected_price_thb,elasticity_used,assumption_source,demand_factor,projected_units,projected_revenue_thb,projected_contribution_after_waste_thb,delta_contribution_vs_current_thb
Watermelon,-0.1,39.721564710540385,-0.3,illustrative -0.30 assumption; observed directional median -3.94 is confounded and non-causal,1.03,252340.73,10023368.6358,2446183.799943,-714480.999057
Watermelon,-0.05,41.92831830557041,-0.3,illustrative -0.30 assumption; observed directional median -3.94 is confounded and non-causal,1.015,248665.86499999996,10426141.539449997,2809317.267503248,-351347.53149675205
Watermelon,0.0,44.13507190060043,-0.3,illustrative -0.30 assumption; observed directional median -3.94 is confounded and non-causal,1.0,244991.0,10812695.4,3160664.7989999996,-4.656612873077393e-10
Watermelon,0.05,46.34182549563045,-0.3,illustrative -0.30 assumption; observed directional median -3.94 is confounded and non-causal,0.985,241316.135,11183030.21745,3500226.39443325,339561.59543325007
Watermelon,0.1,48.548579090660475,-0.3,illustrative -0.30 assumption; observed directional median -3.94 is confounded and non-causal,0.97,237641.27,11537145.991799999,3828002.0538029997,667337.2548029996
Watermelon,0.15,50.75533268569049,-0.3,illustrative -0.30 assumption; observed directional median -3.94 is confounded and non-causal,0.955,233966.405,11875042.723049998,4143991.777109248,983326.978109248
Pineapple,-0.1,43.376658076809235,-0.3,illustrative -0.30 assumption; observed directional median -4.19 is confounded and non-causal,1.03,167033.04,7245335.063610001,1741686.0334200007,-517285.84657999966
Pineapple,-0.05,45.786472414409744,-0.3,illustrative -0.30 assumption; observed directional median -4.19 is confounded and non-causal,1.015,164600.52,7536477.168377499,2004589.0659549998,-254382.8140450006
Pineapple,0.0,48.19628675201026,-0.3,illustrative -0.30 assumption; observed directional median -4.19 is confounded and non-causal,1.0,162168.0,7815895.43,2258971.88,-4.656612873077393e-10
Pineapple,0.05,50.606101089610775,-0.3,illustrative -0.30 assumption; observed directional median -4.19 is confounded and non-causal,0.985,159735.48,8083589.8484775005,2504834.475555001,245862.59555500047
Pineapple,0.1,53.01591542721129,-0.3,illustrative -0.30 assumption; observed directional median -4.19 is confounded and non-causal,0.97,157302.96,8339560.42381,2742176.8526200005,483204.97262000013
Pineapple,0.15,55.42572976481179,-0.3,illustrative -0.30 assumption; observed directional median -4.19 is confounded and non-causal,0.955,154870.44,8583807.155997498,2970999.011194999,712027.1311949985
Guava,-0.1,43.29616905737706,-0.3,illustrative -0.30 assumption; observed directional median -1.81 is confounded and non-causal,1.03,104549.12000000001,4526576.374320001,1018468.2959858009,-324832.1794141992
Guava,-0.05,45.70151178278689,-0.3,illustrative -0.30 assumption; observed directional median -1.81 is confounded and non-causal,1.015,103026.55999999998,4708469.545779999,1183543.10797695,-159757.3674230501
Guava,0.0,48.106854508196726,-0.3,illustrative -0.30 assumption; observed directional median -1.81 is confounded and non-causal,1.0,101504.0,4883038.16,1343300.4754,0.0
Guava,0.05,50.512197233606564,-0.3,illustrative -0.30 assumption; observed directional median -1.81 is confounded and non-causal,0.985,99981.44,5050282.216980001,1497740.3982549512,154439.92285495112
Guava,0.1,52.9175399590164,-0.3,illustrative -0.30 assumption; observed directional median -1.81 is confounded and non-causal,0.97,98458.87999999999,5210201.71672,1646862.8765418,303562.4011418
Guava,0.15,55.32288268442623,-0.3,illustrative -0.30 assumption; observed directional median -1.81 is confounded and non-causal,0.955,96936.31999999999,5362796.65922,1790667.9102605504,447367.43486055033
PassionFruit,-0.1,57.44029465952639,-0.3,illustrative -0.30 assumption; observed directional median -6.45 is confounded and non-causal,1.03,83858.48,4816855.8009,567014.4335000003,-360677.4164999997
PassionFruit,-0.05,60.631422140611186,-0.3,illustrative -0.30 assumption; observed directional median -6.45 is confounded and non-causal,1.015,82637.23999999999,5010413.382975,750182.0847500002,-177509.76524999982
PassionFruit,0.0,63.822549621695984,-0.3,illustrative -0.30 assumption; observed directional median -6.45 is confounded and non-causal,1.0,81416.0,5196176.7,927691.8500000001,1.1641532182693481e-10
PassionFruit,0.05,67.01367710278079,-0.3,illustrative -0.30 assumption; observed directional median -6.45 is confounded and non-causal,0.985,80194.76,5374145.751975001,1099543.7292500006,171851.87925000058
PassionFruit,0.1,70.20480458386558,-0.3,illustrative -0.30 assumption; observed directional median -6.45 is confounded and non-causal,0.97,78973.52,5544320.5389,1265737.7224999997,338045.8724999997
PassionFruit,0.15,73.39593206495037,-0.3,illustrative -0.30 assumption; observed directional median -6.45 is confounded and non-causal,0.955,77752.28,5706701.060775,1426273.82975,498581.97975000006
MixedBerryPremium,-0.1,78.27749935815147,-0.3,illustrative -0.30 assumption; observed directional median -6.69 is confounded and non-causal,1.03,28885.32,2261070.61776,-238323.2411044002,-184463.21390440024
MixedBerryPremium,-0.05,82.62624932249322,-0.3,illustrative -0.30 assumption; observed directional median -6.69 is confounded and non-causal,1.015,28464.659999999996,2351928.0940399994,-144760.22095010022,-90900.19375010027
MixedBerryPremium,0.0,86.97499928683497,-0.3,illustrative -0.30 assumption; observed directional median -6.69 is confounded and non-causal,1.0,28044.0,2439126.88,-53860.0272000003,-3.4924596548080444e-10
MixedBerryPremium,0.05,91.32374925117672,-0.3,illustrative -0.30 assumption; observed directional median -6.69 is confounded and non-causal,0.985,27623.34,2522666.97564,34377.34014589962,88237.36734589958
MixedBerryPremium,0.1,95.67249921551847,-0.3,illustrative -0.30 assumption; observed directional median -6.69 is confounded and non-causal,0.97,27202.68,2602548.38096,119951.88108760014,173811.9082876001
MixedBerryPremium,0.15,100.0212491798602,-0.3,illustrative -0.30 assumption; observed directional median -6.69 is confounded and non-causal,0.955,26782.02,2678771.0959599996,202863.5956250996,256723.62282509956
