base_code,kitchen,matched_strata,promo_rows,promo_units,promo_active_hours,baseline_units,incremental_units,promo_contribution_thb,baseline_contribution_thb,incremental_contribution_thb,promo_discount_cost_thb,promo_cups_per_active_hour,baseline_cups_per_active_hour,actual_demand_lift_pct,promo_contribution_per_cup_thb,baseline_contribution_per_cup_thb,break_even_lift_pct,contribution_lift_pct,actual_vs_breakeven_gap_pct,promo_roi_on_discount,decision
RC101,BKK_Ladprao,392,392,1770,392,1238.6666666666667,531.3333333333334,13446.276000000002,16618.983333333334,-3172.7073333333324,14126.699999999999,4.51530612244898,3.1598639455782314,0.428955866523143,7.596766101694916,13.416832615715823,0.7661242212949522,-0.1909086295892548,-0.3371683547718092,-0.22458941814672448,OPTIMIZE / TARGET ONLY
RC101,BKK_Sukhumvit,455,455,2987,455,2177.6666666666665,809.3333333333334,23798.661000000004,29517.900833333333,-5719.239833333332,23828.85,6.564835164835165,4.786080586080586,0.3716516148783102,7.967412453967192,13.554829710699526,0.7012837968430021,-0.19375496467807196,-0.3296321819646919,-0.2400132542415321,OPTIMIZE / TARGET ONLY
RC101,Pattaya_Beach,484,484,3436,484,2582.8333333333335,853.1666666666666,28834.825,36108.205,-7273.38,26737.2,7.099173553719008,5.336432506887053,0.330321997806027,8.391974679860303,13.980075498483577,0.6658862820492086,-0.20143288762207923,-0.33556428424318163,-0.27203222476549527,OPTIMIZE / TARGET ONLY
RC101,Pattaya_Central,514,514,4225,514,3115.8333333333335,1109.1666666666667,33135.294,41942.87333333334,-8807.579333333331,33400.35,8.219844357976653,6.061932555123217,0.35597753410002664,7.842673136094675,13.461205669965231,0.7164052914575951,-0.2099898894226131,-0.3604277573575685,-0.26369721674573265,OPTIMIZE / TARGET ONLY
RC102,BKK_Ladprao,647,647,3570,647,2018.1666666666667,1551.8333333333333,25338.932000000004,29622.043333333335,-4283.1113333333315,37153.2,5.517774343122102,3.1192684183410613,0.7689321991906846,7.09774005602241,14.677699231976217,1.067939811281513,-0.14459202848149222,-0.2990076120908285,-0.11528243417345832,OPTIMIZE / TARGET ONLY
RC102,BKK_Sukhumvit,856,856,7306,856,4404.666666666667,2901.3333333333335,52542.446,64640.60916666667,-12098.163166666665,75121.2,8.535046728971963,5.145638629283489,0.658695323142122,7.191684369011772,14.675482632056909,1.0406182862101199,-0.18716041390441207,-0.3819229630679979,-0.16104858770449176,OPTIMIZE / TARGET ONLY
RC102,Pattaya_Beach,813,813,7497,813,4352.416666666667,3144.5833333333335,52403.850000000006,62842.18583333334,-10438.33583333333,76831.4,9.22140221402214,5.353526035260353,0.7224913362308294,6.989975990396159,14.438458136284439,1.0655948112156728,-0.16610395858949467,-0.3431034749848434,-0.13586028411994747,OPTIMIZE / TARGET ONLY
RC102,Pattaya_Central,945,945,10228,945,5946.0,4282.0,67775.12000000001,83079.63666666667,-15304.516666666665,104246.4,10.823280423280423,6.292063492063492,0.7201479986545576,6.626429409464217,13.972357327054604,1.1085801211582433,-0.1842150168286324,-0.38843212250368575,-0.14681098499964187,OPTIMIZE / TARGET ONLY
RC103,BKK_Ladprao,652,677,2248,677,1967.75,280.25,20580.5712,26162.579166666666,-5582.007966666667,13579.2,3.3205317577548006,2.906573116691285,0.14242154745267444,9.155058362989323,13.295682463050015,0.45227719320717585,-0.21335847399092123,-0.3098556457545014,-0.4110704582498724,OPTIMIZE / TARGET ONLY
RC103,BKK_Sukhumvit,767,801,3887,801,3332.0,555.0,36245.0648,45313.458333333336,-9068.393533333334,23366.280000000002,4.852684144818976,4.1598002496878905,0.16656662665066024,9.324688654489323,13.599477290916367,0.45843768031536025,-0.2001258316375838,-0.2918710536647,-0.38809744355256093,OPTIMIZE / TARGET ONLY
RC103,Pattaya_Beach,827,944,4927,944,4225.166666666667,701.8333333333334,43996.2976,56067.121666666666,-12070.824066666668,30236.040000000005,5.219279661016949,4.475812146892656,0.16610784584434524,8.929632149380963,13.269801191274505,0.4860411906434936,-0.21529238005886575,-0.31993334479914837,-0.39921974129769194,OPTIMIZE / TARGET ONLY
RC103,Pattaya_Central,896,972,5834,972,5201.0,633.0,53459.0424,69854.54666666666,-16395.504266666667,35469.840000000004,6.002057613168724,5.350823045267489,0.1217073639684676,9.163360027425437,13.430983785169518,0.465726954410971,-0.2347091928733438,-0.3440195904425034,-0.46223789751142563,OPTIMIZE / TARGET ONLY
