base_code,sku,kitchen,platform_name,daypart,matched_strata,promo_rows,promo_units,promo_active_hours,baseline_units,incremental_units,promo_contribution_thb,baseline_contribution_thb,incremental_contribution_thb,promo_discount_cost_thb,promo_cups_per_active_hour,baseline_cups_per_active_hour,actual_demand_lift_pct,promo_contribution_per_cup_thb,baseline_contribution_per_cup_thb,break_even_lift_pct,contribution_lift_pct,actual_vs_breakeven_gap_pct,promo_roi_on_discount,decision
RC101,Guava,BKK_Ladprao,Grab,Afternoon,2,2,5,2,8.0,-3.0,56.07000000000001,127.51,-71.44,36.75000000000001,2.5,4.0,-0.375,11.214000000000002,15.93875,0.42132602104512196,-0.5602697827621362,-0.796326021045122,-1.943945578231292,REDUCE / PAUSE BLANKET USE
RC101,Guava,BKK_Ladprao,Grab,Dinner,4,4,7,4,7.5,-0.5,78.49800000000002,119.825,-41.326999999999984,51.45000000000001,1.75,1.875,-0.06666666666666665,11.214000000000002,15.976666666666667,0.42470721122406485,-0.34489463801376996,-0.4913738778907315,-0.8032458697764816,REDUCE / PAUSE BLANKET USE
RC101,Guava,BKK_Ladprao,Grab,Late Evening,2,2,11,2,3.5,7.5,123.35400000000004,55.745000000000005,67.60900000000004,80.85000000000002,5.5,1.75,2.142857142857143,11.214000000000004,15.927142857142858,0.4202909628270779,1.2128262624450628,1.722566180030065,0.8362275819418679,KEEP / SCALE SELECTIVELY
RC101,Guava,BKK_Ladprao,Grab,Lunch,3,3,16,3,8.5,7.5,179.42400000000006,136.105,43.31900000000006,117.60000000000002,5.333333333333333,2.8333333333333335,0.8823529411764706,11.214000000000004,16.01235294117647,0.4278895078630698,0.3182763307740353,0.4544634333134008,0.3683588435374154,KEEP / SCALE SELECTIVELY
RC101,Guava,BKK_Ladprao,Grab,Morning,3,3,3,3,5.5,-2.5,33.64200000000001,88.565,-54.923,22.050000000000004,1.0,1.8333333333333333,-0.4545454545454546,11.214000000000004,16.10272727272727,0.4359485707800308,-0.6201433975046575,-0.8904940253254854,-2.4908390022675735,REDUCE / PAUSE BLANKET USE
RC101,Guava,BKK_Ladprao,LINE MAN,Afternoon,11,11,57,11,35.0,22.0,463.8450000000001,474.66499999999996,-10.819999999999887,418.95000000000005,5.181818181818182,3.1818181818181817,0.6285714285714286,8.13763157894737,13.561857142857141,0.6665607199449317,-0.02279502385893184,-0.03798929137350315,-0.02582647093925262,OPTIMIZE / TARGET ONLY
RC101,Guava,BKK_Ladprao,LINE MAN,Dinner,17,17,89,17,39.5,49.5,721.3650000000001,540.04,181.3250000000001,654.1500000000001,5.235294117647059,2.323529411764706,1.2531645569620253,8.105224719101125,13.671898734177214,0.6868007005354735,0.3357621657654992,0.5663638564265518,0.27719177558663927,KEEP / SCALE SELECTIVELY
RC101,Guava,BKK_Ladprao,LINE MAN,Late Evening,9,9,49,9,26.5,22.5,403.95500000000004,361.185,42.770000000000024,360.15000000000003,5.444444444444445,2.9444444444444446,0.8490566037735849,8.243979591836736,13.629622641509433,0.6532819483208827,0.11841577031161332,0.19577465545270223,0.11875607385811474,KEEP / SCALE SELECTIVELY
RC101,Guava,BKK_Ladprao,LINE MAN,Late Night,6,6,8,6,8.0,0.0,64.93,110.45,-45.519999999999996,58.80000000000001,1.3333333333333333,1.3333333333333333,0.0,8.11625,13.80625,0.7010626828892652,-0.4121321865097328,-0.7010626828892652,-0.7741496598639453,REDUCE / PAUSE BLANKET USE
RC101,Guava,BKK_Ladprao,LINE MAN,Lunch,16,16,95,16,57.0,38.0,785.5550000000002,781.755,3.8000000000000718,698.2500000000001,5.9375,3.5625,0.6666666666666667,8.269000000000002,13.715,0.6586044261700323,0.004860857941426877,0.008062240496634399,0.005442176870748401,KEEP / SCALE SELECTIVELY
RC101,Guava,BKK_Ladprao,LINE MAN,Morning,9,9,26,9,13.5,12.5,213.84,185.67000000000002,28.17000000000001,191.10000000000002,2.888888888888889,1.5,0.9259259259259258,8.224615384615385,13.753333333333334,0.6722159870308018,0.15172079495879776,0.25370993889512405,0.14740973312401887,KEEP / SCALE SELECTIVELY
RC101,Guava,BKK_Sukhumvit,Grab,Afternoon,9,9,58,9,40.0,18.0,636.5520000000001,656.095,-19.542999999999907,426.30000000000007,6.444444444444445,4.444444444444445,0.44999999999999996,10.975034482758623,16.402375,0.49451694441302485,-0.029786844892888853,-0.044516944413024895,-0.0458433028383765,OPTIMIZE / TARGET ONLY
RC101,Guava,BKK_Sukhumvit,Grab,Dinner,12,12,59,12,39.5,19.5,648.1360000000001,643.8950000000001,4.2409999999999854,433.6500000000001,4.916666666666667,3.2916666666666665,0.49367088607594933,10.985355932203392,16.30113924050633,0.48389723019531905,0.006586477608926833,0.009773655880630283,0.009779776317306548,KEEP / SCALE SELECTIVELY
RC101,Guava,BKK_Sukhumvit,Grab,Late Evening,6,6,49,6,30.5,18.5,533.4260000000002,504.00500000000005,29.421000000000056,360.15000000000003,8.166666666666666,5.083333333333333,0.6065573770491803,10.886244897959187,16.524754098360656,0.5179480393150537,0.05837442088868183,0.0886093377341266,0.08169096209912552,KEEP / SCALE SELECTIVELY
RC101,Guava,BKK_Sukhumvit,Grab,Late Night,4,4,11,4,7.0,4.0,119.56400000000002,115.66500000000002,3.8990000000000045,80.85000000000002,2.75,1.75,0.5714285714285714,10.869454545454547,16.523571428571433,0.5201840496661683,0.03370941944408412,0.05124452176240313,0.04822510822510827,KEEP / SCALE SELECTIVELY
RC101,Guava,BKK_Sukhumvit,Grab,Lunch,12,12,70,12,64.0,6.0,764.6800000000001,1047.875,-283.195,514.5000000000001,5.833333333333333,5.333333333333333,0.09375,10.924000000000001,16.373046875,0.4988142507323323,-0.27025647143027554,-0.4050642507323323,-0.550427599611273,OPTIMIZE / TARGET ONLY
RC101,Guava,BKK_Sukhumvit,Grab,Morning,12,12,45,12,23.0,22.0,489.0800000000001,377.495,111.5850000000001,330.75000000000006,3.75,1.9166666666666667,0.9565217391304348,10.868444444444446,16.41282608695652,0.5101357117711691,0.29559331911680964,0.4463860273592657,0.3373696145124719,KEEP / SCALE SELECTIVELY
RC101,Guava,BKK_Sukhumvit,LINE MAN,Afternoon,6,6,47,6,25.0,22.0,380.23499999999996,350.225,30.009999999999927,345.45000000000005,7.833333333333333,4.166666666666667,0.8799999999999999,8.090106382978723,14.009,0.7316212342367221,0.08568777214647705,0.1483787657632778,0.08687219568678513,KEEP / SCALE SELECTIVELY
RC101,Guava,BKK_Sukhumvit,LINE MAN,Dinner,8,8,49,8,31.5,17.5,397.6650000000001,438.70000000000005,-41.03499999999994,360.1500000000001,6.125,3.9375,0.5555555555555556,8.11561224489796,13.926984126984129,0.7160731324663279,-0.09353772509687708,-0.16051757691077229,-0.11393863667916126,OPTIMIZE / TARGET ONLY
RC101,Guava,BKK_Sukhumvit,LINE MAN,Late Evening,4,4,44,4,21.5,22.5,352.31000000000006,299.98,52.33000000000003,323.40000000000003,11.0,5.375,1.0465116279069768,8.007045454545455,13.952558139534885,0.742535148419105,0.17444496299753331,0.3039764794878719,0.1618119975262833,KEEP / SCALE SELECTIVELY
RC101,Guava,BKK_Sukhumvit,LINE MAN,Late Night,4,4,10,4,5.5,4.5,80.03000000000002,76.45500000000001,3.5749999999999993,73.50000000000001,2.5,1.375,0.8181818181818181,8.003000000000002,13.900909090909094,0.73696227551032,0.04675953175070302,0.08121954267149811,0.04863945578231291,KEEP / SCALE SELECTIVELY
RC101,Guava,BKK_Sukhumvit,LINE MAN,Lunch,6,6,76,6,40.0,36.0,608.0500000000001,559.9000000000001,48.15000000000002,558.6000000000001,12.666666666666666,6.666666666666667,0.8999999999999999,8.000657894736843,13.997500000000002,0.7495436230573145,0.08599749955349156,0.15045637694268543,0.08619763694951667,KEEP / SCALE SELECTIVELY
RC101,Guava,BKK_Sukhumvit,LINE MAN,Morning,7,7,25,7,15.0,10.0,200.96500000000006,209.22500000000002,-8.259999999999978,183.75000000000003,3.5714285714285716,2.142857142857143,0.6666666666666667,8.038600000000002,13.948333333333334,0.7351694739548342,-0.03947902975265849,-0.06850280728816749,-0.04495238095238083,OPTIMIZE / TARGET ONLY
