base_code,sku,matched_strata,promo_rows,promo_units,promo_active_hours,baseline_units,incremental_units,promo_contribution_thb,baseline_contribution_thb,incremental_contribution_thb,promo_discount_cost_thb,promo_cups_per_active_hour,baseline_cups_per_active_hour,actual_demand_lift_pct,promo_contribution_per_cup_thb,baseline_contribution_per_cup_thb,break_even_lift_pct,contribution_lift_pct,actual_vs_breakeven_gap_pct,promo_roi_on_discount,decision
RC101,Guava,370,370,2145,370,1394.0,751.0,19386.235000000004,20543.02,-1156.784999999999,15765.750000000004,5.797297297297297,3.7675675675675677,0.5387374461979915,9.037871794871798,14.73674318507891,0.6305545729737749,-0.056310367219619906,-0.09181712677578346,-0.07337329337329329,OPTIMIZE / TARGET ONLY
RC101,MixedBerryPremium,356,356,1198,356,867.5,330.5,3599.0050000000006,10157.940833333334,-6558.935833333334,15993.299999999994,3.365168539325843,2.436797752808989,0.3809798270893372,3.0041777963272125,11.709441882804995,2.8977193350941115,-0.6456954161231332,-2.5167395080047745,-0.4101052211446879,OPTIMIZE / TARGET ONLY
RC101,PassionFruit,355,355,1383,355,1064.3333333333333,318.6666666666667,7249.235000000001,13199.735,-5950.5,13484.25,3.895774647887324,2.9981220657276992,0.29940494832445985,5.241673897324657,12.4018806764798,1.3660153072112524,-0.45080450478740675,-1.0666103588867926,-0.44129261916680573,OPTIMIZE / TARGET ONLY
RC101,Pineapple,208,208,1548,208,1186.0,362.0,15312.111,18329.505,-3017.3940000000002,11377.800000000003,7.4423076923076925,5.701923076923077,0.30522765598650925,9.891544573643412,15.45489460370995,0.5624349148555023,-0.16461950281799753,-0.2572072588689931,-0.2652001265622528,OPTIMIZE / TARGET ONLY
RC101,Watermelon,556,556,6144,556,4603.166666666667,1540.8333333333333,53668.47,61957.761666666665,-8289.291666666664,41472.0,11.050359712230216,8.279076738609113,0.3347333357471305,8.7351025390625,13.459812810022084,0.54088778578513,-0.1337893985141544,-0.20615445003799948,-0.1998768245241769,OPTIMIZE / TARGET ONLY
RC102,Guava,761,761,4811,761,2852.5833333333335,1958.4166666666667,36446.488000000005,41939.93583333334,-5493.447833333333,47147.79999999999,6.321944809461235,3.7484669294787563,0.6865414390464784,7.5756574516732496,14.702440185796501,0.9407477541832552,-0.13098369666477194,-0.25420631513677683,-0.11651546484318111,OPTIMIZE / TARGET ONLY
RC102,MixedBerryPremium,247,247,1178,247,627.75,550.25,-1313.7359999999962,6536.359166666667,-7850.095166666663,20968.399999999998,4.769230769230769,2.541497975708502,0.8765432098765431,-1.1152258064516096,10.412360281428382,,-1.2009889552427946,,-0.37437740441171785,OPTIMIZE / TARGET ONLY
RC102,PassionFruit,684,684,3935,684,2262.75,1672.25,21770.1,32570.71416666667,-10800.614166666668,51155.0,5.752923976608187,3.308114035087719,0.7390343608441057,5.532426937738246,14.394305233307554,1.6018066565181246,-0.3316050766157339,-0.8627722956740189,-0.21113506336949797,OPTIMIZE / TARGET ONLY
RC102,Pineapple,767,767,7485,767,4437.0,3048.0,55858.986000000004,66924.5625,-11065.5765,73352.99999999999,9.758800521512386,5.784876140808344,0.686950642325896,7.462790380761524,15.08329107505071,1.0211328880326356,-0.1653440244753187,-0.3341822457067396,-0.15085376876201384,OPTIMIZE / TARGET ONLY
RC102,Watermelon,802,802,11192,802,6541.166666666667,4650.833333333333,85298.51000000001,92212.90333333334,-6914.39333333333,100728.0,13.955112219451372,8.156068162926019,0.7110097587076718,7.621382237312367,14.097317501974674,0.849706137681661,-0.07498292628678027,-0.13869637897398923,-0.06864420353162308,OPTIMIZE / TARGET ONLY
RC103,Guava,739,770,2822,770,2543.6666666666665,278.3333333333333,28623.564400000003,35846.316666666666,-7222.752266666667,16593.360000000008,3.664935064935065,3.3034632034632034,0.10942209408989645,10.143006520198442,14.092379766740926,0.3893690927515263,-0.20149217376587725,-0.27994699866162986,-0.43527967010097196,OPTIMIZE / TARGET ONLY
RC103,MixedBerryPremium,277,292,592,292,542.0,50.0,-2436.862000000001,2795.678333333334,-5232.540333333335,6322.560000000004,2.0273972602739727,1.856164383561644,0.09225092250922518,-4.116320945945947,5.158078105781059,,-1.8716532123688527,,-0.827598367328002,OPTIMIZE / TARGET ONLY
RC103,PassionFruit,553,614,1941,614,1700.25,240.75,9815.526000000002,17970.209166666667,-8154.683166666664,15139.799999999994,3.1612377850162865,2.7691368078175898,0.1415968239964711,5.056942812982999,10.56915698671764,1.0900289715720723,-0.45378899550000595,-0.9484321475756012,-0.5386255542785683,OPTIMIZE / TARGET ONLY
RC103,Pineapple,797,867,4738,867,4092.5,645.5,52520.8796,61615.28,-9094.400400000002,27859.440000000013,5.46482122260669,4.720299884659746,0.15772755039706787,11.08503157450401,15.055657910812462,0.3581971155987542,-0.14759975772243505,-0.20046956520168635,-0.32643873674416996,OPTIMIZE / TARGET ONLY
RC103,Watermelon,776,851,6803,851,5847.5,955.5,65757.868,79170.22166666666,-13412.35366666667,36736.19999999999,7.994124559341951,6.871327849588719,0.16340316374519026,9.666010289578127,13.5391571896822,0.4006975767737484,-0.16941159673819273,-0.23729441302855814,-0.3650991029738153,OPTIMIZE / TARGET ONLY
