date,hour,day_of_week,kitchen,item_name_raw,price_thb,units_sold,gross_revenue_thb,rate_code,source_row_id,duplicate_key,exception_reason
2026-07-28,17,1,Pattaya_Central,Mixed Berry (Premium),89.0,1,89.0,LM-RC000,687,16922896315703914554,exact_duplicate
2025-09-13,1,5,Pattaya_Central,Pineapple Ice,49.0,2,98.0,LM-RC000,8975,16223647646524662028,exact_duplicate
2026-08-22,12,5,BKK_Ladprao,แตงโมปั่น (ไซส์ M),45.0,7,315.0,LM-RC000,11363,11934030944421837522,exact_duplicate
2026-06-01,4,0,Pattaya_Central,ฝรั่งปั่น (ใส่เกลือ),49.0,1,49.0,GB-RC000,11554,8091412305242020411,exact_duplicate
2026-01-12,17,0,Pattaya_Central,เสาวรสปั่นเข้มข้น,65.0,4,260.0,LM-RC000,13696,1581986325340106435,exact_duplicate
2026-03-20,11,4,Pattaya_Central,Passion Fruit Smoothie,65.0,6,390.0,LM-RC000,15346,3545304415825230048,exact_duplicate
2025-12-04,12,3,BKK_Ladprao,watermelon ice,45.0,5,225.0,GB-RC000,17620,3924522372989339106,exact_duplicate
2026-04-16,19,3,Pattaya_Beach,แตงโมปั่น (ไซส์ M),45.0,22,990.0,GB-RC000,17685,2787407526396040217,exact_duplicate
2026-08-09,0,6,Pattaya_Central,Guava Smoothie,49.0,4,196.0,LM-RC000,17691,5139847351568330558,exact_duplicate
2026-08-15,12,5,Pattaya_Central,Watermelon Smoothie,45.0,13,585.0,GB-RC000,22389,7454405328682356810,exact_duplicate
2026-04-06,8,0,Pattaya_Beach,Mixed Berry (Premium),89.0,2,178.0,LM-RC000,23202,16271566432426954806,exact_duplicate
2026-03-06,18,4,Pattaya_Central,pineapple ice,49.0,7,343.0,LM-RC000,23389,12412425313023449333,exact_duplicate
2026-01-03,22,5,Pattaya_Central,แตงโมปั่น,45.0,24,1080.0,GB-RC000,23541,1335596977183985409,exact_duplicate
2026-06-03,14,2,BKK_Ladprao,เสาวรสปั่น,65.0,1,65.0,LM-RC000,23938,5274395897823934385,exact_duplicate
2026-01-03,11,5,BKK_Ladprao,แตงโมปั่นสด,45.0,9,405.0,GB-RC000,24412,4214043038108550672,exact_duplicate
2026-07-15,1,2,Pattaya_Central,สับปะรดปั่น,49.0,1,49.0,LM-RC000,24791,10537524127973787599,exact_duplicate
2026-05-07,6,3,Pattaya_Central,สัปปะรดปั่น,49.0,1,49.0,GB-RC000,24913,14043160072361999034,exact_duplicate
2025-09-15,14,0,Pattaya_Beach,Watermelon Smoothie,39.6,10,396.0,LM-RC103,27126,17038313764276979154,exact_duplicate
2026-03-09,12,0,Pattaya_Beach,เสาวรสปั่น,65.0,9,585.0,LM-RC000,27424,2873255538504836251,exact_duplicate
2026-05-05,14,1,BKK_Ladprao,เบอร์รี่ปั่นพรีเมียม,71.2,4,284.8,LM-RC102,28806,15222443697850765530,exact_duplicate
2026-07-02,17,3,BKK_Ladprao,Passion Fruit Ice,65.0,1,65.0,LM-RC000,28915,9963498239984871764,exact_duplicate
2026-02-03,11,1,Pattaya_Central,ฝรั่งปั่น,49.0,8,392.0,LM-RC000,28983,16736446317331591634,exact_duplicate
2026-07-09,16,3,Pattaya_Beach,เสาวรสปั่นเข้มข้น,65.0,2,130.0,LM-RC000,29153,9935249216696066452,exact_duplicate
2026-07-06,19,0,BKK_Sukhumvit,สัปปะรดปั่น,49.0,2,98.0,GB-RC000,29368,17459694772113266984,exact_duplicate
2026-07-15,13,2,Pattaya_Beach,เบอร์รี่ปั่นพรีเมียม,89.0,4,356.0,GB-RC000,29663,9594156322670649602,exact_duplicate
2026-08-29,14,5,Pattaya_Beach,guava ice,49.0,1,49.0,GB-RC000,30167,3266796346589284502,exact_duplicate
2025-11-14,6,4,Pattaya_Beach,Guava Smoothie,49.0,2,98.0,LM-RC000,30264,15316975470897230840,exact_duplicate
2026-05-28,15,3,BKK_Ladprao,เสาวรสปั่นเข้มข้น,65.0,2,130.0,LM-RC000,31222,8862151424778138000,exact_duplicate
2026-01-24,13,5,BKK_Sukhumvit,สับปะรดปั่น,49.0,9,441.0,LM-RC000,31529,7422902684579301018,exact_duplicate
2025-10-15,20,2,Pattaya_Central,watermelon ice,45.0,6,270.0,GB-RC000,31929,17252644997931950056,exact_duplicate
2026-08-19,17,2,BKK_Ladprao,สัปปะรดปั่น,49.0,5,245.0,GB-RC000,32081,13018863153614554112,exact_duplicate
2026-02-12,20,3,Pattaya_Beach,Watermelon smoothy,45.0,11,495.0,LM-RC000,34361,12792956873932100971,exact_duplicate
2026-08-25,12,1,Pattaya_Central,Pineapple smoothie ,49.0,4,196.0,LM-RC000,35760,4356405956270910134,exact_duplicate
2025-09-27,7,5,BKK_Ladprao,แตงโมปั่นสด,45.0,1,45.0,LM-RC000,36220,8730038580692221725,exact_duplicate
2025-12-23,9,1,BKK_Sukhumvit,Watermelon Smoothie,45.0,2,90.0,GB-RC000,36550,2680156290768127815,exact_duplicate
2025-12-03,12,2,BKK_Sukhumvit,Passion Fruit Ice,65.0,3,195.0,LM-RC000,36837,4448074518882320833,exact_duplicate
2026-01-31,14,5,Pattaya_Beach,Passion Fruit Smoothie,65.0,4,260.0,GB-RC000,36917,2354775979627998147,exact_duplicate
2025-11-24,0,0,BKK_Sukhumvit,แตงโมปั่น (ไซส์ M),45.0,3,135.0,LM-RC000,37064,2999665542674168764,exact_duplicate
2025-09-07,12,6,BKK_Sukhumvit,pineapple ice,49.0,3,147.0,LM-RC000,37281,9072335512369146269,exact_duplicate
2026-08-25,9,1,Pattaya_Beach,เสาวรสปั่น,65.0,1,65.0,LM-RC000,37336,5123447775502989779,exact_duplicate
2026-08-16,23,6,Pattaya_Central,pineapple ice,49.0,14,686.0,GB-RC000,38280,7463558269777705299,exact_duplicate
