date,hour,day_of_week,kitchen,item_name_raw,price_thb,units_sold,gross_revenue_thb,rate_code,source_row_id,duplicate_key,exception_reason
2025-11-15,22,5,BKK_Ladprao,แก้วเปล่า,59.0,1,59.0,GB-RC000,369,2489344410217454765,non_menu_or_unmapped_name
2026-04-22,1,2,Pattaya_Central,น้ำส้มปั่น (เมนูทดลอง),99.0,1,99.0,LM-RC000,824,14567804310158790049,non_menu_or_unmapped_name
2025-11-05,16,2,BKK_Ladprao,แก้วเปล่า,35.0,1,35.0,GB-RC000,1014,6361440770232534084,non_menu_or_unmapped_name
2025-10-23,18,3,BKK_Sukhumvit,Combo Set A (2 แก้ว),35.0,2,70.0,LM-RC000,1221,10062413921288155942,non_menu_or_unmapped_name
2025-09-24,3,2,Pattaya_Beach,แก้วเปล่า,0.0,3,0.0,LM-RC000,1502,9801334852773845413,non_menu_or_unmapped_name
2026-05-08,13,4,Pattaya_Central,น้ำส้มปั่น (เมนูทดลอง),0.0,3,0.0,LM-RC000,1763,15136603291766098773,non_menu_or_unmapped_name
2026-02-17,17,1,Pattaya_Beach,แก้วเปล่า,59.0,1,59.0,GB-RC000,2031,3900986834438207390,non_menu_or_unmapped_name
2026-05-29,1,4,BKK_Ladprao,แก้วเปล่า,99.0,2,198.0,GB-RC000,2651,2491457131059637131,non_menu_or_unmapped_name
2025-12-08,23,0,Pattaya_Beach,น้ำส้มปั่น (เมนูทดลอง),59.0,3,177.0,LM-RC000,3716,4848158806890823450,non_menu_or_unmapped_name
2026-02-05,7,3,Pattaya_Beach,Combo Set A (2 แก้ว),59.0,1,59.0,GB-RC000,3770,4654886249655633872,non_menu_or_unmapped_name
2026-03-18,11,2,Pattaya_Central,Combo Set A (2 แก้ว),59.0,2,118.0,GB-RC000,3828,12191335540777813211,non_menu_or_unmapped_name
2026-02-24,17,1,Pattaya_Beach,Combo Set A (2 แก้ว),0.0,2,0.0,LM-RC000,4009,6775376073953042642,non_menu_or_unmapped_name
2026-06-21,12,6,Pattaya_Beach,Combo Set A (2 แก้ว),35.0,3,105.0,GB-RC000,4231,3742732740042292160,non_menu_or_unmapped_name
2026-07-24,13,4,Pattaya_Beach,น้ำส้มปั่น (เมนูทดลอง),59.0,3,177.0,LM-RC000,4569,13640965925695326040,non_menu_or_unmapped_name
2026-08-10,5,0,Pattaya_Central,น้ำส้มปั่น (เมนูทดลอง),99.0,3,297.0,GB-RC000,5438,546805394244103342,non_menu_or_unmapped_name
2025-12-24,20,2,Pattaya_Beach,Combo Set A (2 แก้ว),99.0,2,198.0,GB-RC000,5472,10493363135297261003,non_menu_or_unmapped_name
2026-03-14,21,5,BKK_Sukhumvit,Combo Set A (2 แก้ว),99.0,3,297.0,GB-RC000,5624,4452699073641125901,non_menu_or_unmapped_name
2025-10-18,20,5,Pattaya_Central,Combo Set A (2 แก้ว),99.0,3,297.0,GB-RC000,6165,1879529195803262028,non_menu_or_unmapped_name
2026-08-15,15,5,Pattaya_Central,แก้วเปล่า,59.0,1,59.0,GB-RC000,6201,11237472395284944865,non_menu_or_unmapped_name
2025-11-03,18,0,BKK_Sukhumvit,Combo Set A (2 แก้ว),35.0,3,105.0,GB-RC000,6281,15483984153486972450,non_menu_or_unmapped_name
2025-10-17,14,4,BKK_Sukhumvit,น้ำส้มปั่น (เมนูทดลอง),99.0,1,99.0,LM-RC000,6468,10920220552684224339,non_menu_or_unmapped_name
2026-07-15,15,2,Pattaya_Central,Combo Set A (2 แก้ว),59.0,2,118.0,GB-RC000,6472,981154421483336956,non_menu_or_unmapped_name
2026-06-27,12,5,Pattaya_Beach,น้ำส้มปั่น (เมนูทดลอง),59.0,1,59.0,LM-RC000,7419,3318983023899167670,non_menu_or_unmapped_name
2026-08-05,22,2,Pattaya_Central,แก้วเปล่า,0.0,3,0.0,LM-RC000,7541,6428320659376774901,non_menu_or_unmapped_name
