week_start,sku,fruit_cost_per_cup_thb,fruit_cost_change_pct_vs_prior_week
2025-09-01,Guava,9.65,
2025-09-08,Guava,9.47,-0.01865284974093262
2025-09-15,Guava,8.77,-0.07391763463569179
2025-09-22,Guava,8.9,0.014823261117445918
2025-09-29,Guava,9.59,0.07752808988764048
2025-10-06,Guava,9.85,0.027111574556829998
2025-10-13,Guava,8.94,-0.09238578680203047
2025-10-20,Guava,9.44,0.055928411633109576
2025-10-27,Guava,8.95,-0.05190677966101698
2025-11-03,Guava,8.51,-0.049162011173184306
2025-11-10,Guava,9.36,0.099882491186839
2025-11-17,Guava,8.8,-0.05982905982905973
2025-11-24,Guava,8.46,-0.03863636363636358
2025-12-01,Guava,9.37,0.10756501182033085
2025-12-08,Guava,8.35,-0.1088580576307363
2025-12-15,Guava,9.12,0.09221556886227544
2025-12-22,Guava,9.11,-0.0010964912280702066
2025-12-29,Guava,8.49,-0.06805708013172329
2026-01-05,Guava,8.2,-0.034157832744405314
2026-01-12,Guava,9.1,0.10975609756097571
2026-01-19,Guava,9.57,0.05164835164835169
2026-01-26,Guava,9.4,-0.017763845350052265
2026-02-02,Guava,8.37,-0.10957446808510651
2026-02-09,Guava,8.64,0.032258064516129226
2026-02-16,Guava,8.31,-0.03819444444444442
2026-02-23,Guava,8.58,0.032490974729241895
2026-03-02,Guava,8.91,0.03846153846153855
2026-03-09,Guava,8.46,-0.050505050505050386
2026-03-16,Guava,9.47,0.11938534278959811
2026-03-23,Guava,9.27,-0.02111932418162632
2026-03-30,Guava,8.69,-0.06256742179072272
2026-04-06,Guava,9.77,0.12428078250863073
2026-04-13,Guava,9.83,0.0061412487205732
2026-04-20,Guava,8.98,-0.08646998982706
2026-04-27,Guava,8.7,-0.03118040089086871
2026-05-04,Guava,9.71,0.11609195402298877
2026-05-11,Guava,8.61,-0.11328527291452128
2026-05-18,Guava,9.75,0.132404181184669
2026-05-25,Guava,9.59,-0.016410256410256396
2026-06-01,Guava,10.38,0.08237747653806049
2026-06-08,Guava,10.22,-0.015414258188824692
2026-06-15,Guava,11.16,0.09197651663405093
2026-06-22,Guava,10.09,-0.09587813620071683
2026-06-29,Guava,9.81,-0.027750247770069292
