pnl_component,thb,definition
Revenue,31146932.57,Metric contract; operating result is contribution after waste less fixed kitchen overhead
Fruit cost,-7089224.37,Metric contract; operating result is contribution after waste less fixed kitchen overhead
Packaging cost,-3764826.0,Metric contract; operating result is contribution after waste less fixed kitchen overhead
Labor cost,-3278871.0,Metric contract; operating result is contribution after waste less fixed kitchen overhead
Platform commission,-8517391.5528,Metric contract; operating result is contribution after waste less fixed kitchen overhead
Contribution before waste,8496619.6472,Metric contract; operating result is contribution after waste less fixed kitchen overhead
Recorded waste cost,-859850.6700000002,Metric contract; operating result is contribution after waste less fixed kitchen overhead
Contribution after waste,7636768.9772,Metric contract; operating result is contribution after waste less fixed kitchen overhead
Fixed kitchen overhead,-8040000.0,Metric contract; operating result is contribution after waste less fixed kitchen overhead
Modeled operating result,-403231.0227999997,Metric contract; operating result is contribution after waste less fixed kitchen overhead
