kitchen,sku,units_sold,gross_revenue_thb,sold_fruit_cost_thb,sold_packaging_cost_thb,sold_labor_cost_thb,commission_thb,product_margin_thb,contribution_before_waste_thb,units_wasted,waste_cost_thb,contribution_after_waste_thb,realized_price_thb,revenue_per_cup_thb,fruit_cost_per_cup_thb,packaging_cost_per_cup_thb,labor_cost_per_cup_thb,commission_per_cup_thb,contribution_before_waste_per_cup_thb,contribution_after_waste_per_cup_thb,product_margin_pct,contribution_margin_pct,contribution_after_waste_margin_pct,waste_cost_pct_revenue,waste_rate,profit_layer,profit_rank,contribution_mix,cumulative_contribution_mix,top_20pct_flag
Pattaya_Central,Watermelon,80102,3535734.6,617261.74,480612,400510.0,963945.279,2037350.86,1073405.581,2474.0,33896.41,1039509.171,44.140403485555915,44.140403485555915,7.705946667998302,6.0,5.0,12.033972672342763,13.40048414521485,12.977318556340665,0.5762171346231699,0.30358771300311965,0.2940009046493478,0.009586808353771802,0.029960279015694632,Contribution after waste; overhead intentionally not allocated,1,0.13611897572173687,0.13611897572173687,True
Pattaya_Beach,Watermelon,67926,2997063.9,523484.42,407556,339630.0,818435.205,1726393.48,907958.275,2085.0,28627.62,879330.655,44.12248476283014,44.12248476283014,7.706686982893149,6.0,5.0,12.048923902482112,13.366873877454879,12.945420825604334,0.5760282521837455,0.3029492547689758,0.2933973663357662,0.009551888433209582,0.029781034408878606,Contribution after waste; overhead intentionally not allocated,2,0.11514433101555001,0.25126330673728686,True
BKK_Sukhumvit,Watermelon,60657,2678107.05,467579.61,363942,303285.0,732432.942,1543300.44,810867.498,1918.0,26326.25,784541.248,44.15165685741134,44.15165685741134,7.708584499727978,6.0,5.0,12.07499451011425,13.368077847569118,12.934059514977662,0.576265403580488,0.30277635765157335,0.29294618674783746,0.009830170903735906,0.030651218537754696,Contribution after waste; overhead intentionally not allocated,3,0.10273209132583318,0.35399539806312,True
Pattaya_Central,Pineapple,53054,2557599.1,498442.49,318324,265270.0,698741.9796,1475562.61,776820.6304,2265.0,34863.18,741957.4504,48.207469747804126,48.207469747804126,9.395003015795227,6.0,5.0,13.170392045840087,14.64207468616881,13.984948362046216,0.5769327217858342,0.30373041279221596,0.2900991990496087,0.013631213742607276,0.04094434100399501,Contribution after waste; overhead intentionally not allocated,4,0.09715593762429574,0.4511513356874158,True
Pattaya_Beach,Pineapple,44942,2165443.28,421793.16,269652,224710.0,596208.4212,1249288.12,653079.6988,1862.0,28664.04,624415.6588,48.18306439410796,48.18306439410796,9.385277913755507,6.0,5.0,13.266174651773396,14.531611828579058,13.89381110764986,0.576920269183869,0.30159169017809606,0.2883546590977899,0.013237031080306109,0.039782924536364415,Contribution after waste; overhead intentionally not allocated,5,0.08176437714224796,0.5329157128296638,False
BKK_Sukhumvit,Pineapple,40239,1939119.14,377975.09,241434,201195.0,526608.831,1118515.05,591906.219,1633.0,25122.25,566783.969,48.19004299311613,48.19004299311613,9.393252565918637,6.0,5.0,13.087025795869678,14.709764631327817,14.085438728596635,0.5768160537057048,0.3052448953703794,0.29228939950538574,0.012955495864993628,0.03899980894153611,Contribution after waste; overhead intentionally not allocated,6,0.0742177707211211,0.6071334835507849,False
BKK_Ladprao,Watermelon,36306,1601789.85,279789.52,217836,181530.0,440591.265,922634.3300000001,482043.065,1805.0,24759.34,457283.725,44.119149727317804,44.119149727317804,7.70642648598028,6.0,5.0,12.135494546355975,13.277228694981545,12.595265934005399,0.5760021078919935,0.30094026691453934,0.2854829708154287,0.015457296099110628,0.047361654115609664,Contribution after waste; overhead intentionally not allocated,7,0.05987921415002157,0.6670126977008065,False
Pattaya_Central,Guava,33186,1596940.87,308883.27,199116,182523.0,436361.5914,906418.6000000001,470057.0086,1752.0,26823.69,443233.3186,48.120920568914606,48.120920568914606,9.307637859338275,6.0,5.5,13.148966172482371,14.164316537093955,13.356033224853855,0.5675968453359204,0.2943484116603516,0.2775514904318279,0.01679692122852363,0.05014597286622016,Contribution after waste; overhead intentionally not allocated,8,0.05803937763775464,0.7250520753385612,False
Pattaya_Beach,Guava,28132,1353277.59,261914.7,168792,154726.0,372545.4516,767844.89,395299.43840000004,1478.0,22618.56,372680.87840000005,48.10456384188824,48.10456384188824,9.310205459974407,6.0,5.5,13.242764524385041,14.051593857528795,13.247578501350777,0.5673964422923755,0.292105212796733,0.27539130268166195,0.01671391011507107,0.049915569064505234,Contribution after waste; overhead intentionally not allocated,9,0.04880085799539827,0.7738529333339594,False
BKK_Sukhumvit,Guava,25045,1204850.22,233300.7,150270,137747.5,329389.515,683532.02,354142.505,1320.0,20199.37,333943.135,48.10741545218606,48.10741545218606,9.315260531044121,6.0,5.5,13.151907167099221,14.140247754042724,13.333724695548014,0.5673170064242509,0.2939307302446274,0.2771656837146114,0.016765046530015988,0.050066375877109805,Contribution after waste; overhead intentionally not allocated,10,0.04372832751612703,0.8175812608500864,False
