cutoff,method,kitchen,sku,horizon_days,mae,absolute_error_units,signed_error_units,wape,bias_pct,actual_units,forecast_units
2026-04-30,naive_last_day,BKK_Ladprao,Guava,28,7.892857142857143,221.0,-183.0,0.1626195732155997,-0.1346578366445916,1359.0,1176.0
2026-04-30,naive_last_day,BKK_Ladprao,PassionFruit,28,6.607142857142857,185.0,155.0,0.17177344475394615,0.14391829155060354,1077.0,1232.0
2026-04-30,naive_last_day,BKK_Ladprao,Pineapple,28,10.214285714285714,286.0,138.0,0.12756467439785907,0.06155218554861731,2242.0,2380.0
2026-04-30,naive_last_day,BKK_Ladprao,Watermelon,28,30.964285714285715,867.0,651.0,0.240499306518724,0.18058252427184465,3605.0,4256.0
2026-04-30,naive_last_day,BKK_Sukhumvit,Guava,28,16.071428571428573,450.0,314.0,0.18734388009991673,0.13072439633638636,2402.0,2716.0
2026-04-30,naive_last_day,BKK_Sukhumvit,PassionFruit,28,10.107142857142858,283.0,121.0,0.15158007498660953,0.06480985538296732,1867.0,1988.0
2026-04-30,naive_last_day,BKK_Sukhumvit,Pineapple,28,19.392857142857142,543.0,441.0,0.14445331205107742,0.11731843575418995,3759.0,4200.0
2026-04-30,naive_last_day,BKK_Sukhumvit,Watermelon,28,23.035714285714285,645.0,-151.0,0.11001193928023197,-0.025754733071806243,5863.0,5712.0
2026-04-30,naive_last_day,Pattaya_Beach,Guava,28,13.25,371.0,33.0,0.1368498708963482,0.01217263002582073,2711.0,2744.0
2026-04-30,naive_last_day,Pattaya_Beach,PassionFruit,28,10.178571428571429,285.0,-175.0,0.13526340768865686,-0.08305647840531562,2107.0,1932.0
2026-04-30,naive_last_day,Pattaya_Beach,Pineapple,28,17.392857142857142,487.0,-405.0,0.1171517921578061,-0.09742602838585518,4157.0,3752.0
2026-04-30,naive_last_day,Pattaya_Beach,Watermelon,28,33.035714285714285,925.0,-723.0,0.14008783886112372,-0.10949568378009995,6603.0,5880.0
2026-04-30,naive_last_day,Pattaya_Central,Guava,28,10.928571428571429,306.0,88.0,0.09770114942528736,0.0280970625798212,3132.0,3220.0
2026-04-30,naive_last_day,Pattaya_Central,PassionFruit,28,13.5,378.0,-92.0,0.1529126213592233,-0.0372168284789644,2472.0,2380.0
