week_start,kitchen,sku,units_sold,units_wasted,waste_cost_thb,waste_rate,series_active
2025-09-01,BKK_Ladprao,Guava,234,18.0,281.7,0.07142857142857142,True
2025-09-01,BKK_Ladprao,PassionFruit,162,22.0,549.56,0.11956521739130435,True
2025-09-01,BKK_Ladprao,Pineapple,399,28.0,444.64,0.06557377049180328,True
2025-09-01,BKK_Ladprao,Watermelon,561,33.0,469.26,0.05555555555555555,True
2025-09-01,BKK_Sukhumvit,Guava,374,14.0,219.10000000000002,0.03608247422680412,True
2025-09-01,BKK_Sukhumvit,PassionFruit,295,28.0,699.44,0.08668730650154799,True
2025-09-01,BKK_Sukhumvit,Pineapple,620,25.0,397.0,0.03875968992248062,True
2025-09-01,BKK_Sukhumvit,Watermelon,903,31.0,440.82,0.033190578158458245,True
2025-09-01,Pattaya_Beach,Guava,446,23.0,359.95,0.04904051172707889,True
2025-09-01,Pattaya_Beach,PassionFruit,334,19.0,474.62,0.053824362606232294,True
2025-09-01,Pattaya_Beach,Pineapple,714,34.0,539.9200000000001,0.045454545454545456,True
2025-09-01,Pattaya_Beach,Watermelon,980,28.0,398.15999999999997,0.027777777777777776,True
2025-09-01,Pattaya_Central,Guava,521,26.0,406.90000000000003,0.04753199268738574,True
2025-09-01,Pattaya_Central,PassionFruit,392,34.0,849.32,0.07981220657276995,True
2025-09-01,Pattaya_Central,Pineapple,832,41.0,651.08,0.046964490263459335,True
2025-09-01,Pattaya_Central,Watermelon,1141,28.0,398.15999999999997,0.023952095808383235,True
2025-09-08,BKK_Ladprao,Guava,246,25.0,386.75,0.09225092250922509,True
2025-09-08,BKK_Ladprao,PassionFruit,234,44.0,1109.6799999999998,0.15827338129496402,True
2025-09-08,BKK_Ladprao,Pineapple,435,31.0,525.45,0.06652360515021459,True
2025-09-08,BKK_Ladprao,Watermelon,633,36.0,492.48,0.053811659192825115,True
2025-09-08,BKK_Sukhumvit,Guava,432,19.0,293.93,0.04212860310421286,True
2025-09-08,BKK_Sukhumvit,PassionFruit,351,31.0,781.8199999999999,0.08115183246073299,True
2025-09-08,BKK_Sukhumvit,Pineapple,675,28.0,474.6,0.03982930298719772,True
2025-09-08,BKK_Sukhumvit,Watermelon,1014,30.0,410.4,0.028735632183908046,True
2025-09-08,Pattaya_Beach,Guava,439,21.0,324.87,0.04565217391304348,True
2025-09-08,Pattaya_Beach,PassionFruit,384,32.0,807.04,0.07692307692307693,True
2025-09-08,Pattaya_Beach,Pineapple,766,30.0,508.5,0.03768844221105527,True
2025-09-08,Pattaya_Beach,Watermelon,1177,34.0,465.12,0.028075970272502065,True
